Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,14
Host write range: ,6315
Total Erase Count is: ,31422
Max Erase Count: ,558
Min Erase Count: ,0
Avg Erase Count: ,157.110000
Total GC Count is: ,9503
Total Segmental GC Count is: ,49842
Total WL Count is: ,5366
WAF is: ,5.370831

VB No,Valid Count,Erase Count
0,0,325
1,29,145
2,30,515
3,30,139
4,34,151
5,35,147
6,35,138
7,30,167
8,29,440
9,30,335
10,33,139
11,32,395
12,0,148
13,7,139
14,34,158
15,33,545
16,32,161
17,32,500
18,36,182
19,32,165
20,36,162
21,32,189
22,30,140
23,31,142
24,31,446
25,33,149
26,33,143
27,29,138
28,30,558
29,34,139
30,28,139
31,0,143
32,30,139
33,31,139
34,31,138
35,31,138
36,30,140
37,31,145
38,30,273
39,36,141
40,33,143
41,36,139
42,35,140
43,35,139
44,31,138
45,35,158
46,34,139
47,30,139
48,35,203
49,11,139
50,31,154
51,32,138
52,36,139
53,32,139
54,36,139
55,32,150
56,31,190
57,35,139
58,34,139
59,36,139
60,30,138
61,33,141
62,36,139
63,34,138
64,34,138
65,32,139
66,33,140
67,32,140
68,32,138
69,31,138
70,36,140
71,33,138
72,33,172
73,29,139
74,32,139
75,35,139
76,34,160
77,31,139
78,36,139
79,33,138
80,31,138
81,36,139
82,31,217
83,30,138
84,0,145
85,30,138
86,30,140
87,33,139
88,32,139
89,33,138
90,34,138
91,32,138
92,34,139
93,34,138
94,34,138
95,34,138
96,32,138
97,33,245
98,34,141
99,32,138
100,33,139
101,33,138
102,35,141
103,30,164
104,36,141
105,33,138
106,33,138
107,33,138
108,31,138
109,29,139
110,34,138
111,34,138
112,33,138
113,32,138
114,33,142
115,30,138
116,35,138
117,32,138
118,35,138
119,29,138
120,29,138
121,30,138
122,33,138
123,36,138
124,34,138
125,32,139
126,36,139
127,35,141
128,33,138
129,35,138
130,29,138
131,33,138
132,32,221
133,36,140
134,30,138
135,32,138
136,31,139
137,34,138
138,34,138
139,33,138
140,31,138
141,35,138
142,32,139
143,36,138
144,31,138
145,36,138
146,34,139
147,35,138
148,32,138
149,34,138
150,36,138
151,31,137
152,29,137
153,34,139
154,29,137
155,34,138
156,35,138
157,30,140
158,29,138
159,30,138
160,29,137
161,32,137
162,36,138
163,29,137
164,31,138
165,36,139
166,31,139
167,34,137
168,32,138
169,32,137
170,36,138
171,29,137
172,32,137
173,33,138
174,32,137
175,30,137
176,32,138
177,31,140
178,29,137
179,30,137
180,34,137
181,32,137
182,29,137
183,30,137
184,32,137
185,31,137
186,36,138
187,33,137
188,33,137
189,32,138
190,30,137
191,33,137
192,31,139
193,30,137
194,36,138
195,33,137
196,32,137
197,29,137
198,30,137
199,32,138


Physical Page Address,Logical Page Address,Data,LCA_Counts,Nand_WriteCounts,Valid_Page
0,4294967295,65535,65535,325,0
1,4294967295,65535,65535,325,0
2,4294967295,65535,65535,325,0
3,4294967295,65535,65535,325,0
4,4294967295,65535,65535,325,0
5,4294967295,65535,65535,325,0
6,4294967295,65535,65535,325,0
7,4294967295,65535,65535,325,0
8,4294967295,65535,65535,325,0
9,4294967295,65535,65535,325,0
10,4294967295,65535,65535,325,0
11,4294967295,65535,65535,325,0
12,4294967295,65535,65535,325,0
13,4294967295,65535,65535,325,0
14,4294967295,65535,65535,325,0
