Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,28
Host write range: ,5625
Total Erase Count is: ,6689
Max Erase Count: ,35
Min Erase Count: ,0
Avg Erase Count: ,33.445000
Total GC Count is: ,0
Total Segmental GC Count is: ,0
Total WL Count is: ,1135
WAF is: ,1.197763

VB No,Valid Count,Erase Count
0,36,32
1,0,35
2,36,33
3,36,34
4,36,35
5,0,35
6,36,32
7,0,35
8,0,35
9,36,32
10,36,34
11,36,32
12,36,35
13,36,33
14,36,32
15,0,35
16,36,32
17,36,35
18,36,34
19,36,34
20,0,35
21,36,35
22,36,33
23,36,35
24,0,35
25,0,35
26,36,35
27,36,34
28,36,35
29,36,33
30,36,32
31,36,34
32,36,33
33,0,35
34,0,35
35,0,35
36,36,34
37,0,35
38,36,32
39,36,32
40,36,35
41,36,35
42,36,32
43,0,35
44,36,32
45,0,35
46,36,33
47,36,34
48,36,34
49,36,35
50,36,34
51,0,35
52,36,35
53,36,33
54,36,33
55,36,33
56,36,35
57,0,35
58,36,34
59,0,35
60,0,35
61,0,34
62,36,33
63,36,32
64,36,32
65,0,35
66,0,35
67,36,35
68,36,33
69,36,34
70,36,35
71,9,32
72,36,34
73,0,35
74,36,33
75,0,34
76,0,34
77,0,34
78,0,34
79,36,32
80,36,32
81,36,34
82,36,34
83,1,33
84,36,33
85,36,33
86,35,35
87,36,32
88,0,35
89,36,31
90,36,34
91,36,33
92,36,31
93,36,32
94,36,32
95,36,33
96,36,35
97,0,35
98,36,33
99,36,34
100,36,32
101,36,33
102,36,31
103,36,31
104,36,34
105,36,32
106,36,32
107,36,33
108,36,34
109,36,33
110,36,35
111,0,35
112,36,31
113,36,34
114,36,32
115,36,32
116,36,33
117,36,33
118,0,35
119,36,35
120,36,32
121,36,33
122,36,34
123,36,34
124,36,31
125,36,35
126,36,34
127,36,31
128,36,35
129,36,33
130,36,32
131,36,33
132,36,31
133,0,35
134,36,33
135,36,32
136,36,31
137,36,31
138,0,35
139,36,33
140,36,34
141,36,31
142,36,33
143,36,32
144,36,34
145,36,33
146,36,32
147,36,35
148,36,33
149,36,34
150,36,32
151,0,35
152,36,35
153,36,33
154,36,31
155,0,35
156,36,34
157,36,35
158,0,35
159,36,32
160,36,31
161,0,35
162,36,31
163,36,34
164,36,32
165,36,33
166,36,35
167,0,35
168,36,35
169,36,35
170,36,31
171,36,32
172,36,34
173,36,31
174,36,32
175,36,33
176,36,32
177,36,33
178,36,32
179,0,35
180,0,35
181,36,34
182,36,31
183,36,35
184,36,35
185,36,32
186,36,34
187,36,33
188,36,34
189,0,35
190,36,31
191,36,33
192,36,31
193,36,32
194,36,32
195,0,35
196,36,32
197,0,35
198,36,35
199,36,31


Physical Page Address,Logical Page Address,Data,LCA_Counts,Nand_WriteCounts,Valid_Page
0,756,756,1,33,1
1,757,757,1,33,1
2,758,758,1,33,1
3,759,759,1,33,1
4,760,760,1,33,1
5,761,761,1,33,1
6,762,762,1,33,1
7,763,763,1,33,1
8,764,764,1,33,1
9,765,765,1,33,1
10,766,766,1,33,1
11,767,767,1,33,1
12,768,768,1,33,1
13,769,769,1,33,1
14,770,770,1,33,1
15,771,771,1,33,1
16,772,772,1,33,1
17,773,773,1,33,1
18,774,774,1,33,1
19,775,775,1,33,1
20,776,776,1,33,1
21,777,777,1,33,1
22,778,778,1,33,1
23,779,779,1,33,1
24,780,780,1,33,1
25,781,781,1,33,1
26,782,782,1,33,1
27,783,783,1,33,1
28,784,784,1,33,1
29,785,785,1,33,1
30,786,786,1,33,1
31,787,787,1,33,1
32,788,788,1,33,1
33,789,789,1,33,1
34,790,790,1,33,1
35,791,791,1,33,1
36,4294967295,65535,65535,35,0
37,4294967295,65535,65535,35,0
38,4294967295,65535,65535,35,0
39,4294967295,65535,65535,35,0
40,4294967295,65535,65535,35,0
41,4294967295,65535,65535,35,0
42,4294967295,65535,65535,35,0
43,4294967295,65535,65535,35,0
44,4294967295,65535,65535,35,0
45,4294967295,65535,65535,35,0
46,4294967295,65535,65535,35,0
47,4294967295,65535,65535,35,0
48,4294967295,65535,65535,35,0
49,4294967295,65535,65535,35,0
50,4294967295,65535,65535,35,0
51,4294967295,65535,65535,35,0
52,4294967295,65535,65535,35,0
53,4294967295,65535,65535,35,0
54,4294967295,65535,65535,35,0
55,4294967295,65535,65535,35,0
56,4294967295,65535,65535,35,0
57,4294967295,65535,65535,35,0
58,4294967295,65535,65535,35,0
59,4294967295,65535,65535,35,0
60,4294967295,65535,65535,35,0
61,4294967295,65535,65535,35,0
62,4294967295,65535,65535,35,0
63,4294967295,65535,65535,35,0
64,4294967295,65535,65535,35,0
65,4294967295,65535,65535,35,0
66,4294967295,65535,65535,35,0
67,4294967295,65535,65535,35,0
68,4294967295,65535,65535,35,0
69,4294967295,65535,65535,35,0
70,4294967295,65535,65535,35,0
71,4294967295,65535,65535,35,0
72,3348,3348,1,34,1
73,3349,3349,1,34,1
74,3350,3350,1,34,1
75,3351,3351,1,34,1
76,3352,3352,1,34,1
77,3353,3353,1,34,1
78,3354,3354,1,34,1
79,3355,3355,1,34,1
80,3356,3356,1,34,1
81,3357,3357,1,34,1
82,3358,3358,1,34,1
83,3359,3359,1,34,1
84,3360,3360,1,34,1
85,3361,3361,1,34,1
86,3362,3362,1,34,1
87,3363,3363,1,34,1
88,3364,3364,1,34,1
89,3365,3365,1,34,1
90,3366,3366,1,34,1
91,3367,3367,1,34,1
92,3368,3368,1,34,1
93,3369,3369,1,34,1
94,3370,3370,1,34,1
95,3371,3371,1,34,1
96,3372,3372,1,34,1
97,3373,3373,1,34,1
98,3374,3374,1,34,1
99,3375,3375,1,34,1
100,3376,3376,1,34,1
101,3377,3377,1,34,1
102,3378,3378,1,34,1
103,3379,3379,1,34,1
104,3380,3380,1,34,1
105,3381,3381,1,34,1
106,3382,3382,1,34,1
107,3383,3383,1,34,1
108,2088,2088,1,35,1
109,2089,2089,1,35,1
110,2090,2090,1,35,1
111,2091,2091,1,35,1
112,2092,2092,1,35,1
113,2093,2093,1,35,1
114,2094,2094,1,35,1
115,2095,2095,1,35,1
116,2096,2096,1,35,1
117,2097,2097,1,35,1
118,2098,2098,1,35,1
119,2099,2099,1,35,1
120,2100,2100,1,35,1
121,2101,2101,1,35,1
122,2102,2102,1,35,1
123,2103,2103,1,35,1
124,2104,2104,1,35,1
125,2105,2105,1,35,1
126,2106,2106,1,35,1
127,2107,2107,1,35,1
128,2108,2108,1,35,1
129,2109,2109,1,35,1
130,2110,2110,1,35,1
131,2111,2111,1,35,1
132,2112,2112,1,35,1
133,2113,2113,1,35,1
134,2114,2114,1,35,1
135,2115,2115,1,35,1
136,2116,2116,1,35,1
137,2117,2117,1,35,1
138,2118,2118,1,35,1
139,2119,2119,1,35,1
140,2120,2120,1,35,1
141,2121,2121,1,35,1
142,2122,2122,1,35,1
143,2123,2123,1,35,1
144,5436,5436,1,36,1
145,5437,5437,1,36,1
146,5438,5438,1,36,1
147,5439,5439,1,36,1
148,5440,5440,1,36,1
149,5441,5441,1,36,1
150,5442,5442,1,36,1
151,5443,5443,1,36,1
152,5444,5444,1,36,1
153,5445,5445,1,36,1
154,5446,5446,1,36,1
155,5447,5447,1,36,1
156,5448,5448,1,36,1
157,5449,5449,1,36,1
158,5450,5450,1,36,1
159,5451,5451,1,36,1
160,5452,5452,1,36,1
161,5453,5453,1,36,1
162,5454,5454,1,36,1
163,5455,5455,1,36,1
164,5456,5456,1,36,1
165,5457,5457,1,36,1
166,5458,5458,1,36,1
167,5459,5459,1,36,1
168,5460,5460,1,36,1
169,5461,5461,1,36,1
170,5462,5462,1,36,1
171,5463,5463,1,36,1
172,5464,5464,1,36,1
173,5465,5465,1,36,1
174,5466,5466,1,36,1
175,5467,5467,1,36,1
176,5468,5468,1,36,1
177,5469,5469,1,36,1
178,5470,5470,1,36,1
179,5471,5471,1,36,1
180,4294967295,65535,65535,35,0
181,4294967295,65535,65535,35,0
182,4294967295,65535,65535,35,0
183,4294967295,65535,65535,35,0
184,4294967295,65535,65535,35,0
185,4294967295,65535,65535,35,0
