Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,7
Host write range: ,6728
Total Erase Count is: ,65899
Max Erase Count: ,1130
Min Erase Count: ,0
Avg Erase Count: ,329.495000
Total GC Count is: ,29558
Total Segmental GC Count is: ,49945
Total WL Count is: ,11598
WAF is: ,11.384404

VB No,Valid Count,Erase Count
0,35,1081
1,34,337
2,35,488
3,35,355
4,35,340
5,36,391
6,34,411
7,35,1130
8,34,478
9,36,566
10,0,1017
11,34,510
12,34,338
13,34,301
14,34,882
15,36,301
16,36,369
17,32,322
18,34,573
19,35,354
20,36,345
21,34,854
22,0,405
23,35,769
24,35,312
25,36,339
26,35,320
27,36,344
28,34,311
29,34,365
30,34,307
31,36,323
32,34,349
33,35,376
34,34,706
35,35,607
36,16,300
37,35,375
38,36,341
39,36,309
40,35,318
41,35,629
42,36,288
43,34,293
44,35,318
45,35,298
46,34,297
47,0,296
48,34,421
49,34,306
50,35,291
51,36,456
52,22,288
53,36,289
54,35,288
55,34,292
56,35,406
57,36,387
58,34,289
59,35,288
60,36,289
61,35,292
62,33,288
63,0,290
64,34,287
65,35,287
66,10,288
67,33,287
68,34,289
69,36,289
70,33,293
71,36,290
72,35,288
73,33,288
74,34,287
75,33,288
76,36,288
77,34,288
78,33,289
79,34,288
80,33,287
81,35,287
82,34,288
83,34,288
84,35,289
85,33,287
86,35,288
87,35,288
88,34,287
89,36,288
90,35,287
91,33,287
92,35,288
93,34,287
94,36,288
95,36,288
96,33,287
97,36,288
98,34,287
99,34,287
100,35,287
101,35,287
102,34,287
103,35,287
104,33,287
105,35,287
106,33,287
107,35,287
108,35,287
109,36,287
110,35,288
111,36,288
112,36,287
113,33,288
114,34,287
115,36,288
116,33,287
117,35,287
118,34,289
119,33,287
120,34,287
121,36,287
122,36,287
123,36,290
124,36,287
125,34,287
126,35,289
127,33,287
128,34,287
129,36,290
130,34,287
131,33,288
132,36,288
133,34,290
134,35,287
135,36,289
136,33,287
137,35,287
138,35,287
139,36,288
140,36,287
141,36,289
142,35,288
143,33,288
144,35,287
145,35,288
146,34,289
147,36,287
148,34,288
149,33,287
150,33,287
151,35,287
152,36,288
153,36,287
154,33,287
155,36,287
156,34,287
157,32,287
