Loop,Nand Write,Host Write,WAF
100,12630,12630,1.000000
200,18945,18945,1.000000
300,25260,25260,1.000000
400,31575,31575,1.000000
500,37890,37890,1.000000
600,44205,44205,1.000000
700,50520,50520,1.000000
800,56835,56835,1.000000
900,63150,63150,1.000000
1000,69465,69465,1.000000
1100,75780,75780,1.000000
1200,82959,82095,1.010524
1300,90750,88410,1.026468
1400,98505,94725,1.039905
1500,106260,101040,1.051663
1600,114015,107355,1.062037
1700,121770,113670,1.071259
1800,129489,119985,1.079210
1900,137172,126300,1.086081
2000,144891,132615,1.092569
2100,152574,138930,1.098208
2200,160293,145245,1.103604
2300,167976,151560,1.108314
2400,175695,157875,1.112874
2500,183378,164190,1.116865
2600,191097,170505,1.120771
2700,198816,176820,1.124398
2800,206499,183135,1.127578
2900,214218,189450,1.130736
3000,221901,195765,1.133507
3100,229584,202080,1.136105
3200,237303,208395,1.138717
3300,245022,214710,1.141176
3400,252705,221025,1.143332
3500,260424,227340,1.145527
3600,268107,233655,1.147448
3700,275826,239970,1.149419
3800,283509,246285,1.151142
3900,291228,252600,1.152922
4000,298911,258915,1.154475
4100,306630,265230,1.156091
4200,314313,271545,1.157499
4300,322032,277860,1.158972
4400,329715,284175,1.160253
4500,337434,290490,1.161603
4600,345117,296805,1.162774
4700,352836,303120,1.164014
4800,360519,309435,1.165088
4900,368238,315750,1.166233
5000,375921,322065,1.167221
5100,383640,328380,1.168281
5200,391323,334695,1.169193
5300,399042,341010,1.170177
5400,406725,347325,1.171021
5500,414444,353640,1.171938
5600,422127,359955,1.172722
5700,429846,366270,1.173577
5800,437529,372585,1.174307
5900,445248,378900,1.175107
6000,452931,385215,1.175788
6100,460650,391530,1.176538
6200,468333,397845,1.177175
6300,476052,404160,1.177880
6400,483735,410475,1.178476
6500,491454,416790,1.179141
6600,499137,423105,1.179700
6700,506856,429420,1.180327
6800,514539,435735,1.180853
6900,522258,442050,1.181446
7000,529941,448365,1.181941
7100,537660,454680,1.182502
7200,545343,460995,1.182969
7300,553062,467310,1.183501
7400,560745,473625,1.183943
7500,568464,479940,1.184448
7600,576147,486255,1.184866
7700,583866,492570,1.185346
7800,591549,498885,1.185742
7900,599268,505200,1.186200
8000,606951,511515,1.186575
8100,614670,517830,1.187011
8200,622353,524145,1.187368
8300,630072,530460,1.187784
8400,637755,536775,1.188124
8500,645474,543090,1.188521
8600,653157,549405,1.188844
8700,660876,555720,1.189225
8800,668559,562035,1.189533
8900,676278,568350,1.189897
9000,683961,574665,1.190191
9100,691680,580980,1.190540
9200,699363,587295,1.190821
9300,707082,593610,1.191156
9400,714765,599925,1.191424
9500,722484,606240,1.191746
9600,730167,612555,1.192002
9700,737886,618870,1.192312
9800,745569,625185,1.192557
9900,753288,631500,1.192855
10000,760971,637815,1.193090
10100,768690,644130,1.193377
10200,776373,650445,1.193603
10300,784092,656760,1.193879
10400,791775,663075,1.194096
10500,799494,669390,1.194362
10600,807177,675705,1.194570
10700,814896,682020,1.194827
10800,822615,688335,1.195079
10900,830298,694650,1.195275
11000,837981,700965,1.195468
11100,845700,707280,1.195707
11200,853383,713595,1.195893
11300,861102,719910,1.196125
11400,868785,726225,1.196303
11500,876504,732540,1.196527
11600,884187,738855,1.196699
11700,891906,745170,1.196916
11800,899589,751485,1.197082
11900,907308,757800,1.197292
12000,914991,764115,1.197452
12100,922710,770430,1.197656
12200,930429,776745,1.197856
12300,938112,783060,1.198008
12400,945795,789375,1.198157
12500,953514,795690,1.198349
12600,961233,802005,1.198537
12700,968916,808320,1.198679
12800,976599,814635,1.198818
12900,984318,820950,1.198999
13000,992037,827265,1.199177
13100,999720,833580,1.199309
13200,1007439,839895,1.199482
13300,1015122,846210,1.199610
13400,1022841,852525,1.199778
13500,1030524,858840,1.199902
13600,1038243,865155,1.200066
13700,1045926,871470,1.200186
13800,1053645,877785,1.200345
13900,1061328,884100,1.200461
14000,1069047,890415,1.200617
14100,1076730,896730,1.200729
14200,1084449,903045,1.200880
14300,1092132,909360,1.200990
14400,1099851,915675,1.201137
14500,1107534,921990,1.201243
14600,1115217,928305,1.201348
14700,1122936,934620,1.201489
14800,1130655,940935,1.201629
14900,1138338,947250,1.201729
15000,1146057,953565,1.201866
15100,1153740,959880,1.201963
15200,1161459,966195,1.202096
15300,1169142,972510,1.202190
15400,1176861,978825,1.202320
15500,1184544,985140,1.202412
15600,1192263,991455,1.202539
15700,1199946,997770,1.202628
15800,1207665,1004085,1.202752
15900,1215348,1010400,1.202838
16000,1223067,1016715,1.202960
16100,1230750,1023030,1.203044
16200,1238469,1029345,1.203162
16300,1246152,1035660,1.203244
16400,1253871,1041975,1.203360
16500,1261554,1048290,1.203440
16600,1269273,1054605,1.203553
16700,1276956,1060920,1.203631
16800,1284675,1067235,1.203741
16900,1292394,1073550,1.203851
17000,1300077,1079865,1.203925
17100,1307760,1086180,1.203999
17200,1315479,1092495,1.204105
17300,1323198,1098810,1.204210
17400,1330881,1105125,1.204281
17500,1338564,1111440,1.204351
17600,1346283,1117755,1.204453
17700,1353966,1124070,1.204521
17800,1361685,1130385,1.204621
17900,1369368,1136700,1.204687
18000,1377087,1143015,1.204785
18100,1384770,1149330,1.204850
18200,1392489,1155645,1.204945
18300,1400208,1161960,1.205040
18400,1407891,1168275,1.205102
18500,1415574,1174590,1.205164
18600,1423293,1180905,1.205256
18700,1431012,1187220,1.205347
18800,1438695,1193535,1.205407
18900,1446378,1199850,1.205466
19000,1454097,1206165,1.205554
19100,1461816,1212480,1.205641
19200,1469499,1218795,1.205698
19300,1477182,1225110,1.205755
19400,1484901,1231425,1.205840
19500,1492620,1237740,1.205924
19600,1500303,1244055,1.205978
19700,1508022,1250370,1.206061
19800,1515705,1256685,1.206114
19900,1523388,1263000,1.206166
20000,1531107,1269315,1.206247
20100,1538826,1275630,1.206326
20200,1546509,1281945,1.206377
20300,1554192,1288260,1.206427
20400,1561911,1294575,1.206505
20500,1569630,1300890,1.206582
20600,1577313,1307205,1.206630
20700,1584996,1313520,1.206678
20800,1592715,1319835,1.206753
20900,1600434,1326150,1.206827
21000,1608117,1332465,1.206874
21100,1615800,1338780,1.206920
21200,1623519,1345095,1.206992
21300,1631238,1351410,1.207064
21400,1638921,1357725,1.207108
21500,1646640,1364040,1.207179
21600,1654323,1370355,1.207222
21700,1662042,1376670,1.207292
21800,1669725,1382985,1.207334
21900,1677444,1389300,1.207402
22000,1685127,1395615,1.207444
22100,1692846,1401930,1.207511
22200,1700529,1408245,1.207552
22300,1708248,1414560,1.207618
22400,1715931,1420875,1.207658
22500,1723614,1427190,1.207698
22600,1731333,1433505,1.207762
22700,1739052,1439820,1.207826
22800,1746735,1446135,1.207864
22900,1754454,1452450,1.207927
23000,1762137,1458765,1.207965
23100,1769856,1465080,1.208027
23200,1777539,1471395,1.208064
23300,1785258,1477710,1.208125
23400,1792941,1484025,1.208161
23500,1800660,1490340,1.208221
23600,1808343,1496655,1.208256
23700,1816062,1502970,1.208316
23800,1823745,1509285,1.208350
23900,1831464,1515600,1.208409
24000,1839147,1521915,1.208443
24100,1846866,1528230,1.208500
24200,1854549,1534545,1.208533
24300,1862268,1540860,1.208590
24400,1869951,1547175,1.208623
24500,1877670,1553490,1.208679
24600,1885353,1559805,1.208711
24700,1893072,1566120,1.208766
24800,1900755,1572435,1.208797
24900,1908474,1578750,1.208851
25000,1916157,1585065,1.208882
25100,1923876,1591380,1.208936
25200,1931559,1597695,1.208966
25300,1939278,1604010,1.209019
25400,1946961,1610325,1.209048
25500,1954680,1616640,1.209100
25600,1962363,1622955,1.209130
25700,1970082,1629270,1.209181
25800,1977765,1635585,1.209210
25900,1985484,1641900,1.209260
26000,1993167,1648215,1.209288
26100,2000886,1654530,1.209338
26200,2008569,1660845,1.209366
26300,2016288,1667160,1.209415
26400,2023971,1673475,1.209442
26500,2031690,1679790,1.209490
26600,2039373,1686105,1.209517
26700,2047092,1692420,1.209565
26800,2054775,1698735,1.209591
26900,2062494,1705050,1.209638
27000,2070177,1711365,1.209664
27100,2077896,1717680,1.209711
27200,2085579,1723995,1.209736
27300,2093298,1730310,1.209782
27400,2100981,1736625,1.209807
27500,2108700,1742940,1.209852
27600,2116383,1749255,1.209877
27700,2124102,1755570,1.209922
27800,2131785,1761885,1.209946
27900,2139504,1768200,1.209990
28000,2147187,1774515,1.210013
28100,2154906,1780830,1.210057
28200,2162589,1787145,1.210080
28300,2170308,1793460,1.210123
28400,2177991,1799775,1.210146
28500,2185710,1806090,1.210189
28600,2193393,1812405,1.210211
28700,2201112,1818720,1.210253
28800,2208795,1825035,1.210275
28900,2216514,1831350,1.210317
29000,2224197,1837665,1.210339
29100,2231916,1843980,1.210380
29200,2239599,1850295,1.210401
29300,2247318,1856610,1.210442
29400,2255001,1862925,1.210463
29500,2262720,1869240,1.210503
29600,2270403,1875555,1.210523
29700,2278122,1881870,1.210563
29800,2285841,1888185,1.210602
29900,2293524,1894500,1.210622
30000,2301243,1900815,1.210661
30100,2308926,1907130,1.210681
30200,2316609,1913445,1.210701
30300,2324328,1919760,1.210739
30400,2332011,1926075,1.210758
30500,2339730,1932390,1.210796
30600,2347413,1938705,1.210815
30700,2355132,1945020,1.210852
30800,2362851,1951335,1.210889
30900,2370534,1957650,1.210908
31000,2378253,1963965,1.210945
31100,2385936,1970280,1.210963
31200,2393655,1976595,1.210999
31300,2401338,1982910,1.211017
31400,2409021,1989225,1.211035
31500,2416740,1995540,1.211071
31600,2424459,2001855,1.211106
31700,2432142,2008170,1.211124
31800,2439861,2014485,1.211159
31900,2447544,2020800,1.211176
32000,2455263,2027115,1.211211
32100,2462946,2033430,1.211227
32200,2470665,2039745,1.211262
32300,2478348,2046060,1.211278
32400,2486067,2052375,1.211312
32500,2493750,2058690,1.211329
32600,2501469,2065005,1.211362
32700,2509152,2071320,1.211378
32800,2516871,2077635,1.211412
32900,2524554,2083950,1.211427
33000,2532273,2090265,1.211460
33100,2539956,2096580,1.211476
33200,2547675,2102895,1.211508
33300,2555358,2109210,1.211524
33400,2563077,2115525,1.211556
33500,2570760,2121840,1.211571
33600,2578479,2128155,1.211603
33700,2586162,2134470,1.211618
33800,2593881,2140785,1.211649
33900,2601564,2147100,1.211664
34000,2609283,2153415,1.211695
34100,2616966,2159730,1.211710
34200,2624685,2166045,1.211741
34300,2632368,2172360,1.211755
34400,2640087,2178675,1.211786
34500,2647770,2184990,1.211800
34600,2655489,2191305,1.211830
34700,2663172,2197620,1.211844
34800,2670891,2203935,1.211874
34900,2678574,2210250,1.211887
35000,2686293,2216565,1.211917
