Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,7
Host write range: ,6728
Total Erase Count is: ,65921
Max Erase Count: ,1126
Min Erase Count: ,0
Avg Erase Count: ,329.605000
Total GC Count is: ,29571
Total Segmental GC Count is: ,49972
Total WL Count is: ,11630
WAF is: ,11.386905

VB No,Valid Count,Erase Count
124,1841,1841,40,1014,1
125,4955,4955,43,1014,1
126,5951,5951,18,1014,1
127,609,609,27,1014,1
128,4448,4448,28,1014,1
129,2196,2196,34,1014,1
130,6100,6100,13,1014,1
131,6556,6556,22,1014,1
132,3541,3541,23,1014,1
133,3598,3598,37,1014,1
134,5077,5077,30,1014,1
135,5462,5462,33,1014,1
136,2614,2614,35,1014,1
137,5829,5829,42,1014,1
138,4483,4483,31,1014,1
139,3145,3145,33,1014,1
140,6136,6136,27,997,1
141,700,700,29,552,1
142,4294967295,65535,65535,231,0
143,4294967295,65535,65535,63,0
144,5759,5759,31,484,1
145,6050,6050,39,484,1
146,5847,5847,37,484,1
147,672,672,18,484,1
148,5971,5971,28,484,1
149,5810,5810,43,484,1
150,4838,4838,27,484,1
151,6112,6112,27,484,1
152,6576,6576,21,484,1
153,4608,4608,28,484,1
154,1381,1381,34,484,1
155,6067,6067,22,484,1
156,4982,4982,35,484,1
157,6434,6434,23,484,1
158,6167,6167,29,484,1
159,2358,2358,29,484,1
160,113,113,36,484,1
161,6281,6281,22,484,1
162,2589,2589,28,484,1
163,1643,1643,38,484,1
164,5076,5076,28,484,1
165,2887,2887,35,484,1
166,6497,6497,16,484,1
167,697,697,33,484,1
168,5451,5451,33,484,1
169,4490,4490,25,484,0
170,6155,6155,19,484,1
171,6614,6614,16,484,1
172,4833,4833,35,484,1
173,3845,3845,31,484,1
174,866,866,31,484,1
175,3188,3188,28,484,1
176,745,745,35,478,1
177,4351,4351,27,391,1
178,4806,4806,34,323,1
179,4294967295,65535,65535,285,0
180,3591,3591,34,435,1
181,6561,6561,22,435,1
182,4207,4207,34,435,1
183,4173,4173,36,435,1
184,6683,6683,20,435,1
185,4603,4603,35,435,1
186,3559,3559,31,435,1
187,3713,3713,25,435,1
188,2131,2131,26,435,1
189,272,272,36,435,1
190,1509,1509,29,435,1
191,3691,3691,26,435,1
192,3131,3131,28,435,1
193,3935,3935,17,435,1
194,3241,3241,26,435,1
195,5348,5348,25,435,1
196,3271,3271,25,435,1
197,5065,5065,36,435,1
198,5969,5969,22,435,1
