Loop,Nand Write,Host Write,WAF
100,6416,6416,1.000000
200,6516,6516,1.000000
300,6616,6616,1.000000
400,6716,6716,1.000000
500,6816,6816,1.000000
600,7068,6916,1.021978
700,7368,7016,1.050171
800,7668,7116,1.077572
900,8142,7216,1.128326
1000,8644,7316,1.181520
1100,9087,7416,1.225324
1200,9586,7516,1.275412
1300,10087,7616,1.324449
1400,10559,7716,1.368455
1500,11087,7816,1.418501
1600,11532,7916,1.456796
1700,11972,8016,1.493513
1800,12499,8116,1.540044
1900,12999,8216,1.582157
2000,13383,8316,1.609307
2100,13852,8416,1.645913
2200,14349,8516,1.684946
2300,14788,8616,1.716342
2400,15230,8716,1.747361
2500,15672,8816,1.777677
2600,16171,8916,1.813706
2700,16668,9016,1.848713
2800,17137,9116,1.879882
2900,17524,9216,1.901476
3000,18024,9316,1.934736
3100,18553,9416,1.970370
3200,19026,9516,1.999369
3300,19556,9616,2.033694
3400,19999,9716,2.058357
3500,20498,9816,2.088223
3600,20909,9916,2.108612
3700,21408,10016,2.137380
3800,21850,10116,2.159945
3900,22322,10216,2.185004
4000,22792,10316,2.209383
4100,23323,10416,2.239151
4200,23794,10516,2.262647
4300,24208,10616,2.280332
4400,24708,10716,2.305711
4500,25239,10816,2.333487
4600,25710,10916,2.355258
4700,26150,11016,2.373820
4800,26649,11116,2.397355
4900,27123,11216,2.418242
5000,27622,11316,2.440969
5100,28118,11416,2.463034
5200,28562,11516,2.480201
5300,29034,11616,2.499483
5400,29532,11716,2.520656
5500,30004,11816,2.539269
5600,30445,11916,2.554968
5700,30915,12016,2.572820
5800,31414,12116,2.592770
5900,31885,12216,2.610102
6000,32327,12316,2.624797
6100,32800,12416,2.641753
6200,33296,12516,2.660275
6300,33767,12616,2.676522
6400,34208,12716,2.690154
6500,34651,12816,2.703730
6600,35180,12916,2.723753
6700,35679,13016,2.741165
6800,36120,13116,2.753888
6900,36649,13216,2.773078
7000,37093,13316,2.785596
7100,37561,13416,2.799717
7200,38001,13516,2.811557
7300,38500,13616,2.827556
7400,38913,13716,2.837052
7500,39412,13816,2.852635
7600,39852,13916,2.863754
7700,40349,14016,2.878781
7800,40791,14116,2.889700
7900,41261,14216,2.902434
8000,41791,14316,2.919181
8100,42260,14416,2.931465
8200,42703,14516,2.941788
8300,43173,14616,2.953818
8400,43673,14716,2.967722
8500,44112,14816,2.977322
8600,44551,14916,2.986793
8700,44962,15016,2.994273
8800,45430,15116,3.005425
8900,45899,15216,3.016496
9000,46399,15316,3.029446
9100,46895,15416,3.041969
9200,47336,15516,3.050786
9300,47837,15616,3.063332
9400,48307,15716,3.073747
9500,48805,15816,3.085799
9600,49247,15916,3.094182
9700,49719,16016,3.104333
9800,50219,16116,3.116096
9900,50688,16216,3.125802
10000,51160,16316,3.135572
10100,51572,16416,3.141569
10200,52040,16516,3.150884
10300,52507,16616,3.160026
10400,53007,16716,3.171034
10500,53504,16816,3.181732
10600,53889,16916,3.185682
10700,54420,17016,3.198166
10800,54920,17116,3.208694
10900,55450,17216,3.220841
11000,55835,17316,3.224474
11100,56303,17416,3.232832
11200,56803,17516,3.242921
11300,57334,17616,3.254655
11400,57748,17716,3.259652
11500,58218,17816,3.267737
11600,58687,17916,3.275675
11700,59219,18016,3.287023
11800,59691,18116,3.294933
11900,60134,18216,3.301164
12000,60631,18316,3.310275
12100,61133,18416,3.319559
12200,61631,18516,3.328527
12300,62103,18616,3.336001
12400,62547,18716,3.341900
12500,63078,18816,3.352360
12600,63580,18916,3.361176
12700,64052,19016,3.368321
12800,64494,19116,3.373823
12900,65025,19216,3.383899
13000,65495,19316,3.390712
13100,65934,19416,3.395859
13200,66463,19516,3.405565
13300,66876,19616,3.409258
13400,67348,19716,3.415906
13500,67852,19816,3.424102
13600,68508,19916,3.439847
13700,68984,20016,3.446443
13800,69547,20116,3.457298
13900,70117,20216,3.468391
14000,70748,20316,3.482378
14100,71316,20416,3.493143
14200,71787,20516,3.499074
14300,72352,20616,3.509507
14400,72938,20716,3.520853
14500,73475,20816,3.529737
14600,74018,20916,3.538822
14700,74580,21016,3.548725
14800,75173,21116,3.560002
14900,75711,21216,3.568580
15000,76242,21316,3.576750
15100,76804,21416,3.586291
15200,77401,21516,3.597369
15300,77965,21616,3.606819
15400,78531,21716,3.616274
15500,79069,21816,3.624358
15600,79696,21916,3.636430
15700,80284,22016,3.646621
15800,80941,22116,3.659839
15900,81506,22216,3.668797
16000,82071,22316,3.677675
16100,82633,22416,3.686340
16200,83232,22516,3.696571
16300,83793,22616,3.705032
16400,84238,22716,3.708311
16500,84861,22816,3.719364
16600,85418,22916,3.727439
16700,86008,23016,3.736879
16800,86629,23116,3.747577
16900,87104,23216,3.751895
17000,87696,23316,3.761194
17100,88259,23416,3.769175
17200,88730,23516,3.773176
17300,89299,23616,3.781292
17400,89948,23716,3.792714
17500,90510,23816,3.800386
17600,91101,23916,3.809207
17700,91666,24016,3.816872
17800,92231,24116,3.824473
17900,92849,24216,3.834201
18000,93413,24316,3.841627
18100,93974,24416,3.848870
18200,94543,24516,3.856380
18300,95192,24616,3.867078
18400,95755,24716,3.874211
18500,96344,24816,3.882334
18600,96907,24916,3.889348
18700,97443,25016,3.895227
18800,98002,25116,3.901975
18900,98587,25216,3.909700
19000,99124,25316,3.915468
19100,99658,25416,3.921073
19200,100219,25516,3.927692
19300,100803,25616,3.935158
19400,101368,25716,3.941826
19500,101901,25816,3.947203
19600,102489,25916,3.954661
19700,103051,26016,3.961062
19800,103644,26116,3.968602
19900,104267,26216,3.977228
20000,104803,26316,3.982482
20100,105399,26416,3.989968
20200,106019,26516,3.998303
20300,106585,26616,4.004546
20400,107086,26716,4.008310
20500,107616,26816,4.013126
20600,108204,26916,4.020062
20700,108762,27016,4.025837
20800,109323,27116,4.031679
20900,109823,27216,4.035237
21000,110445,27316,4.043235
21100,111010,27416,4.049095
21200,111573,27516,4.054841
21300,112190,27616,4.062500
21400,112689,27716,4.065846
21500,113222,27816,4.070391
21600,113787,27916,4.076050
21700,114377,28016,4.082560
21800,114882,28116,4.086001
21900,115473,28216,4.092465
22000,116036,28316,4.097895
22100,116622,28416,4.104096
22200,117182,28516,4.109342
22300,117718,28616,4.113713
22400,118279,28716,4.118923
22500,118897,28816,4.126076
22600,119434,28916,4.130378
22700,119964,29016,4.134409
22800,120496,29116,4.138481
22900,121056,29216,4.143483
23000,121643,29316,4.149372
23100,122144,29416,4.152298
23200,122679,29516,4.156356
23300,123268,29616,4.162210
23400,123856,29716,4.167990
23500,124419,29816,4.172894
23600,124954,29916,4.176828
23700,125541,30016,4.182469
23800,126108,30116,4.187409
23900,126701,30216,4.193176
24000,127322,30316,4.199828
24100,127797,30416,4.201637
24200,128358,30516,4.206252
24300,128951,30616,4.211883
24400,129514,30716,4.216500
24500,130048,30816,4.220145
24600,130610,30916,4.224673
24700,131201,31016,4.230107
24800,131728,31116,4.233449
24900,132231,31216,4.236001
25000,132798,31316,4.240580
25100,133329,31416,4.243984
25200,133921,31516,4.249302
25300,134483,31616,4.253637
25400,134959,31716,4.255234
25500,135551,31816,4.260466
25600,136201,31916,4.267483
25700,136706,32016,4.269928
25800,137357,32116,4.276902
25900,137803,32216,4.277471
26000,138394,32316,4.282523
26100,138953,32416,4.286556
26200,139541,32516,4.291457
26300,140044,32616,4.293721
26400,140611,32716,4.297928
26500,141198,32816,4.302718
26600,141787,32916,4.307540
26700,142318,33016,4.310577
26800,142882,33116,4.314591
26900,143500,33216,4.320207
27000,144063,33316,4.324139
27100,144596,33416,4.327149
27200,145096,33516,4.329156
27300,145745,33616,4.335584
27400,146338,33716,4.340313
27500,146931,33816,4.345014
27600,147497,33916,4.348891
27700,148000,34016,4.350894
27800,148588,34116,4.355376
27900,149176,34216,4.359832
28000,149735,34316,4.363416
28100,150269,34416,4.366254
28200,150863,34516,4.370814
28300,151454,34616,4.375260
28400,152075,34716,4.380545
28500,152640,34816,4.384191
28600,153179,34916,4.387072
28700,153744,35016,4.390679
28800,154340,35116,4.395148
28900,154927,35216,4.399336
29000,155371,35316,4.399451
29100,155932,35416,4.402869
29200,156521,35516,4.407056
29300,157110,35616,4.411220
29400,157614,35716,4.412980
29500,158204,35816,4.417132
29600,158792,35916,4.421205
29700,159354,36016,4.424534
29800,159974,36116,4.429450
29900,160504,36216,4.431853
30000,161094,36316,4.435896
30100,161598,36416,4.437555
30200,162162,36516,4.440848
30300,162716,36616,4.443850
30400,163189,36716,4.444629
30500,163778,36816,4.448555
30600,164428,36916,4.454112
30700,164986,37016,4.457154
30800,165487,37116,4.458643
30900,166078,37216,4.462543
31000,166641,37316,4.465672
31100,167206,37416,4.468837
31200,167792,37516,4.472545
31300,168237,37616,4.472485
31400,168859,37716,4.477118
31500,169358,37816,4.478475
31600,169918,37916,4.481433
31700,170388,38016,4.482008
31800,171013,38116,4.486646
31900,171548,38216,4.488905
32000,172140,38316,4.492640
32100,172755,38416,4.496954
32200,173227,38516,4.497533
32300,173785,38616,4.500337
32400,174374,38716,4.503926
32500,174939,38816,4.506879
32600,175471,38916,4.508968
32700,176001,39016,4.510995
32800,176564,39116,4.513856
32900,177219,39216,4.519048
33000,177749,39316,4.521035
33100,178278,39416,4.522986
33200,178836,39516,4.525660
33300,179424,39616,4.529079
33400,179983,39716,4.531750
33500,180453,39816,4.532173
33600,181015,39916,4.534898
33700,181573,40016,4.537510
33800,182165,40116,4.540956
33900,182611,40216,4.540755
34000,183170,40316,4.543357
34100,183753,40416,4.546541
34200,184344,40516,4.549906
34300,184998,40616,4.554806
34400,185501,40716,4.555973
34500,186066,40816,4.558653
34600,186630,40916,4.561296
34700,187251,41016,4.565316
34800,187814,41116,4.567905
34900,188320,41216,4.569099
35000,188885,41316,4.571716
35100,189478,41416,4.574995
35200,190070,41516,4.578235
35300,190545,41616,4.578648
35400,191132,41716,4.581743
35500,191693,41816,4.584202
35600,192283,41916,4.587341
35700,192784,42016,4.588347
35800,193288,42116,4.589420
35900,193868,42216,4.592287
36000,194427,42316,4.594645
36100,194963,42416,4.596449
36200,195493,42516,4.598104
36300,196111,42616,4.601816
36400,196671,42716,4.604153
36500,197262,42816,4.607203
36600,197823,42916,4.609540
36700,198329,43016,4.610587
36800,198890,43116,4.612905
36900,199475,43216,4.615767
37000,200035,43316,4.618040
37100,200565,43416,4.619610
37200,201129,43516,4.621955
37300,201721,43616,4.624931
37400,202283,43716,4.627207
37500,202755,43816,4.627419
37600,203314,43916,4.629611
37700,203934,44016,4.633179
37800,204526,44116,4.636096
37900,205060,44216,4.637688
38000,205533,44316,4.637896
38100,206181,44416,4.642043
38200,206685,44516,4.642937
38300,207273,44616,4.645710
38400,207833,44716,4.647844
38500,208367,44816,4.649389
38600,208924,44916,4.651438
38700,209486,45016,4.653590
38800,209957,45116,4.653715
38900,210459,45216,4.654525
39000,211042,45316,4.657119
39100,211606,45416,4.659283
39200,212108,45516,4.660076
39300,212757,45616,4.664087
39400,213205,45716,4.663684
39500,213762,45816,4.665663
39600,214350,45916,4.668307
39700,214968,46016,4.671592
39800,215439,46116,4.671676
39900,215997,46216,4.673641
40000,216524,46316,4.674929
40100,217111,46416,4.677503
40200,217676,46516,4.679594
40300,218210,46616,4.681011
40400,218804,46716,4.683706
40500,219425,46816,4.686966
40600,219956,46916,4.688294
40700,220458,47016,4.688999
40800,221046,47116,4.691527
40900,221605,47216,4.693430
41000,222196,47316,4.696001
41100,222762,47416,4.698034
41200,223293,47516,4.699322
41300,223828,47616,4.700689
41400,224357,47716,4.701924
41500,224947,47816,4.704429
41600,225482,47916,4.705777
41700,226041,48016,4.707618
41800,226636,48116,4.710200
41900,227198,48216,4.712087
42000,227755,48316,4.713863
42100,228227,48416,4.713876
42200,228786,48516,4.715681
42300,229374,48616,4.718076
42400,229905,48716,4.719291
42500,230379,48816,4.719334
42600,230908,48916,4.720500
42700,231470,49016,4.722336
42800,232060,49116,4.724733
42900,232623,49216,4.726573
43000,233162,49316,4.727918
43100,233810,49416,4.731463
43200,234371,49516,4.733238
43300,235027,49616,4.736920
43400,235564,49716,4.738193
43500,236128,49816,4.740003
43600,236694,49916,4.741846
43700,237280,50016,4.744082
43800,237846,50116,4.745909
43900,238349,50216,4.746475
44000,238910,50316,4.748191
44100,239502,50416,4.750516
44200,240064,50516,4.752237
44300,240509,50616,4.751640
44400,241075,50716,4.753431
44500,241641,50816,4.755215
44600,242263,50916,4.758092
44700,242819,51016,4.759664
44800,243292,51116,4.759606
44900,243880,51216,4.761793
45000,244382,51316,4.762296
45100,245002,51416,4.765093
45200,245509,51516,4.765684
45300,246100,51616,4.767901
45400,246752,51716,4.771289
45500,247283,51816,4.772329
45600,247787,51916,4.772845
45700,248351,52016,4.774512
45800,248858,52116,4.775079
45900,249416,52216,4.776620
46000,249975,52316,4.778175
46100,250506,52416,4.779190
46200,251004,52516,4.779572
46300,251624,52616,4.782272
46400,252217,52716,4.784449
46500,252694,52816,4.784421
46600,253256,52916,4.786000
46700,253850,53016,4.788177
46800,254414,53116,4.789781
46900,254971,53216,4.791247
47000,255443,53316,4.791113
47100,256001,53416,4.792590
47200,256588,53516,4.794603
47300,257154,53616,4.796218
47400,257770,53716,4.798756
47500,258277,53816,4.799260
47600,258835,53916,4.800709
47700,259396,54016,4.802207
47800,259981,54116,4.804143
47900,260428,54216,4.803527
48000,260987,54316,4.804975
48100,261514,54416,4.805829
48200,262047,54516,4.806791
48300,262633,54616,4.808719
48400,263107,54716,4.808593
48500,263696,54816,4.810566
48600,264262,54916,4.812113
48700,264887,55016,4.814727
48800,265336,55116,4.814137
48900,265960,55216,4.816720
49000,266523,55316,4.818190
49100,267053,55416,4.819059
49200,267614,55516,4.820484
49300,268146,55616,4.821382
49400,268643,55716,4.821649
49500,269204,55816,4.823061
49600,269794,55916,4.824987
49700,270327,56016,4.825889
49800,270884,56116,4.827215
49900,271416,56216,4.828092
50000,272003,56316,4.829942
50100,272564,56416,4.831324
50200,273065,56516,4.831641
50300,273624,56616,4.832980
50400,274209,56716,4.834773
50500,274799,56816,4.836648
50600,275242,56916,4.835934
50700,275827,57016,4.837712
50800,276390,57116,4.839099
50900,276976,57216,4.840884
51000,277563,57316,4.842679
51100,278007,57416,4.841978
51200,278657,57516,4.844861
51300,279155,57616,4.845095
51400,279686,57716,4.845901
51500,280160,57816,4.845717
51600,280807,57916,4.848522
51700,281401,58016,4.850403
51800,281960,58116,4.851676
51900,282521,58216,4.852979
52000,282994,58316,4.852768
52100,283553,58416,4.854030
52200,284116,58516,4.855356
52300,284703,58616,4.857087
52400,285234,58716,4.857858
52500,285734,58816,4.858100
52600,286294,58916,4.859359
52700,286913,59016,4.861614
52800,287443,59116,4.862355
52900,287949,59216,4.862689
53000,288480,59316,4.863443
53100,289131,59416,4.866214
53200,289690,59516,4.867431
53300,290131,59616,4.866663
53400,290720,59716,4.868377
53500,291282,59816,4.869634
53600,291840,59916,4.870819
53700,292370,60016,4.871534
53800,292873,60116,4.871798
53900,293462,60216,4.873489
54000,294017,60316,4.874610
54100,294604,60416,4.876258
54200,295106,60516,4.876495
54300,295731,60616,4.878761
54400,296288,60716,4.879900
54500,296792,60816,4.880163
54600,297297,60916,4.880442
54700,297799,61016,4.880671
54800,298384,61116,4.882257
54900,299033,61216,4.884883
55000,299505,61316,4.884614
55100,300044,61416,4.885437
