Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,14
Host write range: ,6315
Total Erase Count is: ,6729
Max Erase Count: ,36
Min Erase Count: ,0
Avg Erase Count: ,33.645000
Total GC Count is: ,0
Total Segmental GC Count is: ,0
Total WL Count is: ,1175
WAF is: ,1.204391

VB No,Valid Count,Erase Count
126,2754,2754,1,35,1
127,2755,2755,1,35,1
128,2756,2756,1,35,1
129,2757,2757,1,35,1
130,2758,2758,1,35,1
131,2759,2759,1,35,1
132,2760,2760,1,35,1
133,2761,2761,1,35,1
134,2762,2762,1,35,1
135,2763,2763,1,35,1
136,2764,2764,1,35,1
137,2765,2765,1,35,1
138,2766,2766,1,35,1
139,2767,2767,1,35,1
140,2768,2768,1,35,1
141,2769,2769,1,35,1
142,2770,2770,1,35,1
143,2771,2771,1,35,1
144,3168,3168,1,37,1
145,3169,3169,1,37,1
146,3170,3170,1,37,1
147,3171,3171,1,37,1
148,3172,3172,1,37,1
149,3173,3173,1,37,1
150,3174,3174,1,37,1
151,3175,3175,1,37,1
152,3176,3176,1,37,1
153,3177,3177,1,37,1
154,3178,3178,1,37,1
155,3179,3179,1,37,1
156,3180,3180,1,37,1
157,3181,3181,1,37,1
158,3182,3182,1,37,1
159,3183,3183,1,37,1
160,3184,3184,1,37,1
161,3185,3185,1,37,1
162,3186,3186,1,37,1
163,3187,3187,1,37,1
164,3188,3188,1,37,1
165,3189,3189,1,37,1
166,3190,3190,1,37,1
167,3191,3191,1,37,1
168,3192,3192,1,37,1
169,3193,3193,1,37,1
170,3194,3194,1,37,1
171,3195,3195,1,37,1
172,3196,3196,1,37,1
173,3197,3197,1,37,1
174,3198,3198,1,37,1
175,3199,3199,1,37,1
176,3200,3200,1,37,1
177,3201,3201,1,37,1
178,3202,3202,1,37,1
179,3203,3203,1,37,1
180,4968,4968,1,37,1
181,4969,4969,1,37,1
182,4970,4970,1,37,1
183,4971,4971,1,37,1
184,4972,4972,1,37,1
185,4973,4973,1,37,1
186,4974,4974,1,37,1
187,4975,4975,1,37,1
188,4976,4976,1,37,1
189,4977,4977,1,37,1
190,4978,4978,1,37,1
191,4979,4979,1,37,1
192,4980,4980,1,37,1
193,4981,4981,1,37,1
194,4982,4982,1,37,1
195,4983,4983,1,37,1
196,4984,4984,1,37,1
197,4985,4985,1,37,1
198,4986,4986,1,37,1
199,4987,4987,1,37,1
200,4988,4988,1,37,1
201,4989,4989,1,37,1
202,4990,4990,1,37,1
203,4991,4991,1,37,1
204,4992,4992,1,37,1
205,4993,4993,1,37,1
206,4994,4994,1,37,1
207,4995,4995,1,37,1
208,4996,4996,1,37,1
209,4997,4997,1,37,1
210,4998,4998,1,37,1
211,4999,4999,1,37,1
212,5000,5000,1,37,1
213,5001,5001,1,37,1
214,5002,5002,1,37,1
215,5003,5003,1,37,1
216,3600,3600,1,33,1
217,3601,3601,1,33,1
218,3602,3602,1,33,1
219,3603,3603,1,33,1
220,3604,3604,1,33,1
221,3605,3605,1,33,1
222,3606,3606,1,33,1
223,3607,3607,1,33,1
224,3608,3608,1,33,1
225,3609,3609,1,33,1
226,3610,3610,1,33,1
227,3611,3611,1,33,1
228,3612,3612,1,33,1
229,3613,3613,1,33,1
230,3614,3614,1,33,1
231,3615,3615,1,33,1
232,3616,3616,1,33,1
233,3617,3617,1,33,1
234,3618,3618,1,33,1
235,3619,3619,1,33,1
236,3620,3620,1,33,1
237,3621,3621,1,33,1
238,3622,3622,1,33,1
239,3623,3623,1,33,1
240,3624,3624,1,33,1
241,3625,3625,1,33,1
242,3626,3626,1,33,1
243,3627,3627,1,33,1
244,3628,3628,1,33,1
245,3629,3629,1,33,1
246,3630,3630,1,33,1
247,3631,3631,1,33,1
248,3632,3632,1,33,1
249,3633,3633,1,33,1
250,3634,3634,1,33,1
251,3635,3635,1,32,1
252,3564,3564,1,36,1
253,3565,3565,1,36,1
254,3566,3566,1,36,1
255,3567,3567,1,36,1
256,3568,3568,1,36,1
257,3569,3569,1,36,1
258,3570,3570,1,36,1
259,3571,3571,1,36,1
260,3572,3572,1,36,1
261,3573,3573,1,36,1
262,3574,3574,1,36,1
263,3575,3575,1,36,1
264,3576,3576,1,36,1
265,3577,3577,1,36,1
266,3578,3578,1,36,1
267,3579,3579,1,36,1
268,3580,3580,1,36,1
269,3581,3581,1,36,1
270,3582,3582,1,36,1
271,3583,3583,1,36,1
272,3584,3584,1,36,1
273,3585,3585,1,36,1
274,3586,3586,1,36,1
275,3587,3587,1,36,1
276,3588,3588,1,36,1
277,3589,3589,1,36,1
278,3590,3590,1,36,1
279,3591,3591,1,36,1
280,3592,3592,1,36,1
281,3593,3593,1,36,1
282,3594,3594,1,36,1
283,3595,3595,1,36,1
284,3596,3596,1,36,1
285,3597,3597,1,36,1
286,3598,3598,1,36,1
287,3599,3599,1,36,1
288,396,396,1,34,1
289,397,397,1,34,1
290,398,398,1,34,1
291,399,399,1,34,1
292,400,400,1,34,1
293,401,401,1,34,1
294,402,402,1,34,1
295,403,403,1,34,1
296,404,404,1,34,1
297,405,405,1,34,1
298,406,406,1,34,1
299,407,407,1,34,1
300,408,408,1,34,1
301,409,409,1,34,1
302,410,410,1,34,1
303,411,411,1,34,1
304,412,412,1,34,1
305,413,413,1,34,1
306,414,414,1,34,1
307,415,415,1,34,1
308,416,416,1,34,1
309,417,417,1,34,1
310,418,418,1,34,1
311,419,419,1,34,1
312,420,420,1,34,1
313,421,421,1,34,1
314,422,422,1,34,1
315,423,423,1,34,1
316,424,424,1,34,1
317,425,425,1,34,1
318,426,426,1,34,1
319,427,427,1,34,1
320,428,428,1,34,1
321,429,429,1,34,1
322,430,430,1,34,1
323,431,431,1,34,1
324,1656,1656,1,34,1
325,1657,1657,1,34,1
326,1658,1658,1,34,1
327,1659,1659,1,34,1
328,1660,1660,1,34,1
329,1661,1661,1,34,1
330,1662,1662,1,34,1
331,1663,1663,1,34,1
332,1664,1664,1,34,1
333,1665,1665,1,34,1
334,1666,1666,1,34,1
335,1667,1667,1,34,1
336,1668,1668,1,34,1
337,1669,1669,1,34,1
338,1670,1670,1,34,1
339,1671,1671,1,34,1
340,1672,1672,1,34,1
341,1673,1673,1,34,1
342,1674,1674,1,34,1
343,1675,1675,1,34,1
344,1676,1676,1,34,1
345,1677,1677,1,34,1
346,1678,1678,1,34,1
347,1679,1679,1,34,1
348,1680,1680,1,34,1
349,1681,1681,1,34,1
350,1682,1682,1,34,1
351,1683,1683,1,34,1
352,1684,1684,1,34,1
353,1685,1685,1,34,1
354,1686,1686,1,34,1
355,1687,1687,1,34,1
356,1688,1688,1,34,1
357,1689,1689,1,34,1
358,1690,1690,1,34,1
359,1691,1691,1,34,1
360,3672,3672,1,35,1
361,3673,3673,1,35,1
362,3674,3674,1,35,1
363,3675,3675,1,35,1
364,3676,3676,1,35,1
365,3677,3677,1,35,1
366,3678,3678,1,35,1
367,3679,3679,1,35,1
368,3680,3680,1,35,1
369,3681,3681,1,35,1
370,3682,3682,1,35,1
371,3683,3683,1,35,1
372,3684,3684,1,35,1
373,3685,3685,1,35,1
374,3686,3686,1,35,1
375,3687,3687,1,35,1
376,3688,3688,1,35,1
377,3689,3689,1,35,1
378,3690,3690,1,35,1
379,3691,3691,1,35,1
380,3692,3692,1,35,1
381,3693,3693,1,35,1
382,3694,3694,1,35,1
383,3695,3695,1,35,1
384,3696,3696,1,35,1
385,3697,3697,1,35,1
386,3698,3698,1,35,1
387,3699,3699,1,35,1
388,3700,3700,1,35,1
389,3701,3701,1,35,1
390,3702,3702,1,35,1
391,3703,3703,1,35,1
392,3704,3704,1,35,1
393,3705,3705,1,35,1
394,3706,3706,1,35,1
395,3707,3707,1,35,1
396,3024,3024,1,36,1
397,3025,3025,1,36,1
398,3026,3026,1,36,1
399,3027,3027,1,36,1
400,3028,3028,1,36,1
401,3029,3029,1,36,1
402,3030,3030,1,36,1
403,3031,3031,1,36,1
404,3032,3032,1,36,1
405,3033,3033,1,36,1
406,3034,3034,1,36,1
407,3035,3035,1,36,1
408,3036,3036,1,36,1
409,3037,3037,1,36,1
410,3038,3038,1,36,1
411,3039,3039,1,36,1
412,3040,3040,1,36,1
