Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,7
Host write range: ,6728
Total Erase Count is: ,328929
Max Erase Count: ,5479
Min Erase Count: ,1433
Avg Erase Count: ,1644.645000
Total GC Count is: ,147762
Total Segmental GC Count is: ,249972
Total WL Count is: ,57193
WAF is: ,11.641139

VB No,Valid Count,Erase Count
0,33,5479
1,34,2330
2,35,2575
3,0,3134
4,33,4359
5,35,1937
6,34,2361
7,36,1822
8,36,1735
9,35,2858
10,0,5394
11,35,1939
12,35,1779
13,36,1749
14,34,4594
15,0,1843
16,35,1703
17,0,3507
18,36,1595
19,34,3029
20,36,1720
21,35,1652
22,35,2146
23,36,2009
24,34,1942
25,35,1797
26,27,4225
27,36,4785
28,36,1630
29,34,1631
30,36,1602
31,33,1567
32,34,1532
33,36,1566
34,34,1517
35,35,1580
36,36,2112
37,34,1522
38,35,1463
39,35,3525
40,34,2615
41,36,1499
42,33,1528
43,36,1571
44,36,1438
45,36,1486
46,34,1477
47,35,1451
48,34,1511
49,33,1487
50,34,1441
51,35,1517
52,35,1449
53,34,1442
54,35,1434
55,34,1439
56,36,1660
57,36,1450
58,36,1435
59,36,1438
60,35,1434
61,36,1438
62,35,1435
63,35,1435
64,35,1435
65,34,1434
66,24,1436
67,33,1436
68,32,1437
69,35,1434
70,35,1434
71,36,1436
72,35,1563
73,33,1435
74,35,1434
75,36,1434
76,36,1439
77,34,1435
78,36,1435
79,35,1434
80,36,1435
81,34,1434
82,35,1435
83,34,1434
84,35,1434
85,34,1434
86,33,1434
87,33,1434
88,36,1434
89,32,1435
90,2,1435
91,33,1434
92,35,1434
93,35,1434
94,33,1437
95,34,1434
96,33,1436
97,33,1434
98,36,1434
99,33,1434
100,33,1434
101,33,1435
102,36,1434
103,35,1434
104,35,1434
105,33,1435
106,34,1434
107,35,1434
108,36,1434
109,36,1434
110,35,1434
111,35,1435
112,36,1436
113,34,1434
114,36,1436
115,34,1435
116,34,1434
117,36,1434
118,35,1435
119,34,1434
120,35,1434
121,36,1434
122,36,1434
123,33,1434
124,36,1435
125,33,1434
126,34,1435
127,35,1434
128,33,1434
129,35,1434
130,35,1434
131,36,1434
132,36,1434
133,36,1434
134,36,1434
135,33,1434
136,35,1434
137,36,1434
138,35,1434
139,35,1434
140,36,1434
141,33,1434
142,36,1434
143,36,1435
144,35,1434
145,36,1434
146,34,1434
147,34,1433
148,33,1433
149,33,1433
150,33,1433
151,35,1434
152,36,1435
153,34,1433
154,33,1433
155,34,1433
156,36,1434
157,34,1435
158,33,1436
159,34,1433
160,34,1434
161,33,1434
162,35,1434
163,35,1435
164,33,1433
165,36,1434
166,36,1434
167,34,1434
168,33,1433
169,35,1435
170,34,1434
171,34,1433
172,34,1434
173,33,1435
174,36,1435
175,34,1433
176,33,1433
177,33,1434
178,33,1433
179,36,1434
180,34,1433
181,33,1433
182,33,1433
183,35,1434
184,32,1433
185,34,1434
186,35,1433
187,33,1433
188,36,1434
189,33,1434
190,35,1434
191,35,1434
192,33,1434
193,36,1433
194,36,1433
195,34,1434
196,34,1433
197,35,1433
198,33,1433
199,33,1433


Physical Page Address,Logical Page Address,Data,LCA_Counts,Nand_WriteCounts,Valid_Page
0,5497,5497,159,5480,1
1,4151,4151,172,5480,1
2,632,632,179,5480,1
3,5393,5393,150,5480,1
4,4313,4313,138,5480,1
5,6361,6361,115,5480,1
6,4290,4290,176,5480,1
7,581,581,167,5480,1
8,5852,5852,163,5480,1
9,2440,2440,142,5480,1
10,1880,1880,153,5480,1
11,641,641,173,5480,1
12,4336,4336,155,5480,1
13,3265,3265,150,5480,1
14,1987,1987,173,5480,1
15,4627,4627,160,5480,1
16,880,880,158,5480,1
17,4096,4096,169,5480,1
18,4594,4594,159,5480,1
19,5557,5557,150,5480,1
20,2389,2389,118,5480,0
21,3091,3091,171,5480,1
22,1927,1927,165,5480,1
23,1001,1001,170,5480,1
24,2398,2398,152,5480,1
25,5265,5265,163,5480,1
26,5567,5567,144,5480,1
27,5818,5818,172,5480,1
28,898,898,158,5480,1
29,3506,3506,168,5480,1
30,3327,3327,182,5480,1
31,6255,6255,119,5475,1
32,5833,5833,165,5398,1
33,3491,3491,158,2924,1
34,4294967295,65535,65535,1105,0
35,4294967295,65535,65535,229,0
36,3776,3776,140,2331,1
37,268,268,159,2331,1
38,707,707,146,2331,1
39,1828,1828,170,2331,0
40,4019,4019,128,2331,1
41,3554,3554,157,2331,1
42,4954,4954,157,2331,1
43,2273,2273,170,2331,1
44,166,166,153,2331,1
45,522,522,145,2331,1
46,5521,5521,168,2331,1
47,4671,4671,142,2331,1
48,4129,4129,142,2331,1
49,2,2,159,2331,1
50,6025,6025,131,2331,1
51,1007,1007,152,2331,1
52,1859,1859,155,2331,1
53,919,919,148,2331,1
54,1391,1391,154,2331,1
55,2827,2827,145,2331,1
56,2267,2267,141,2331,1
57,3130,3130,162,2331,1
58,5029,5029,141,2331,1
59,5305,5305,156,2331,1
60,3822,3822,161,2331,1
61,4433,4433,173,2331,1
