Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,28
Host write range: ,5625
Total Erase Count is: ,30144
Max Erase Count: ,155
Min Erase Count: ,145
Avg Erase Count: ,150.720000
Total GC Count is: ,0
Total Segmental GC Count is: ,0
Total WL Count is: ,2367
WAF is: ,1.084292

VB No,Valid Count,Erase Count
123,5307,5307,1,151,1
124,5308,5308,1,151,1
125,5309,5309,1,151,1
126,5310,5310,1,151,1
127,5311,5311,1,151,1
128,5312,5312,1,151,1
129,5313,5313,1,151,1
130,5314,5314,1,151,1
131,5315,5315,1,151,1
132,5316,5316,1,151,1
133,5317,5317,1,151,1
134,5318,5318,1,151,1
135,5319,5319,1,151,1
136,5320,5320,1,151,1
137,5321,5321,1,151,1
138,5322,5322,1,151,1
139,5323,5323,1,151,1
140,5324,5324,1,151,1
141,5325,5325,1,151,1
142,5326,5326,1,151,1
143,5327,5327,1,151,1
144,144,144,1,153,1
145,145,145,1,153,1
146,146,146,1,153,1
147,147,147,1,153,1
148,148,148,1,153,1
149,149,149,1,153,1
150,150,150,1,153,1
151,151,151,1,153,1
152,152,152,1,153,1
153,153,153,1,153,1
154,154,154,1,153,1
155,155,155,1,153,1
156,156,156,1,153,1
157,157,157,1,153,1
158,158,158,1,153,1
159,159,159,1,153,1
160,160,160,1,153,1
161,161,161,1,153,1
162,162,162,1,153,1
163,163,163,1,153,1
164,164,164,1,153,1
165,165,165,1,153,1
166,166,166,1,153,1
167,167,167,1,153,1
168,168,168,1,153,1
169,169,169,1,153,1
170,170,170,1,153,1
171,171,171,1,153,1
172,172,172,1,153,1
173,173,173,1,153,1
174,174,174,1,153,1
175,175,175,1,153,1
176,176,176,1,153,1
177,177,177,1,153,1
178,178,178,1,153,1
179,179,179,1,153,1
180,3456,3456,1,151,1
181,3457,3457,1,151,1
182,3458,3458,1,151,1
183,3459,3459,1,151,1
184,3460,3460,1,151,1
185,3461,3461,1,151,1
186,3462,3462,1,151,1
187,3463,3463,1,151,1
188,3464,3464,1,151,1
189,3465,3465,1,151,1
190,3466,3466,1,151,1
191,3467,3467,1,151,1
192,3468,3468,1,151,1
193,3469,3469,1,151,1
194,3470,3470,1,151,1
195,3471,3471,1,151,1
196,3472,3472,1,151,1
197,3473,3473,1,151,1
198,3474,3474,1,151,1
199,3475,3475,1,151,1
200,3476,3476,1,151,1
201,3477,3477,1,151,1
202,3478,3478,1,151,1
203,3479,3479,1,151,1
204,3480,3480,1,151,1
205,3481,3481,1,151,1
206,3482,3482,1,151,1
207,3483,3483,1,151,1
208,3484,3484,1,151,1
209,3485,3485,1,151,1
210,3486,3486,1,151,1
211,3487,3487,1,151,1
212,3488,3488,1,151,1
213,3489,3489,1,151,1
214,3490,3490,1,151,1
215,3491,3491,1,151,1
216,3348,3348,1,149,1
217,3349,3349,1,149,1
218,3350,3350,1,149,1
219,3351,3351,1,149,1
220,3352,3352,1,149,1
221,3353,3353,1,149,1
222,3354,3354,1,149,1
223,3355,3355,1,149,1
224,3356,3356,1,149,1
225,3357,3357,1,149,1
226,3358,3358,1,149,1
227,3359,3359,1,149,1
228,3360,3360,1,149,1
229,3361,3361,1,149,1
230,3362,3362,1,149,1
231,3363,3363,1,149,1
232,3364,3364,1,149,1
233,3365,3365,1,149,1
234,3366,3366,1,149,1
235,3367,3367,1,149,1
236,3368,3368,1,149,1
237,3369,3369,1,149,1
238,3370,3370,1,149,1
239,3371,3371,1,149,1
240,3372,3372,1,149,1
241,3373,3373,1,149,1
242,3374,3374,1,149,1
243,3375,3375,1,149,1
244,3376,3376,1,149,1
245,3377,3377,1,149,1
246,3378,3378,1,149,1
247,3379,3379,1,149,1
248,3380,3380,1,149,1
249,3381,3381,1,149,1
250,3382,3382,1,149,1
251,3383,3383,1,149,1
252,3204,3204,1,149,1
253,3205,3205,1,149,1
254,3206,3206,1,149,1
255,3207,3207,1,149,1
256,3208,3208,1,149,1
257,3209,3209,1,149,1
258,3210,3210,1,149,1
259,3211,3211,1,149,1
260,3212,3212,1,149,1
261,3213,3213,1,149,1
