Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,14
Host write range: ,6315
Total Erase Count is: ,157392
Max Erase Count: ,2954
Min Erase Count: ,691
Avg Erase Count: ,786.960000
Total GC Count is: ,47576
Total Segmental GC Count is: ,249869
Total WL Count is: ,26791
WAF is: ,5.487245

VB No,Valid Count,Erase Count
124,3119,3119,157,1099,1
125,1019,1019,198,1099,1
126,2778,2778,157,1099,1
127,3,3,188,1099,1
128,2071,2071,159,1099,1
129,5106,5106,160,1099,1
130,3030,3030,149,1099,1
131,5651,5651,160,1099,0
132,1045,1045,220,1099,1
133,6050,6050,154,1099,0
134,247,247,184,1099,1
135,5544,5544,164,1099,1
136,441,441,203,1090,1
137,4919,4919,160,927,1
138,6145,6145,191,755,1
139,20,20,171,637,1
140,4025,4025,148,573,1
141,6055,6055,140,538,1
142,2548,2548,175,532,1
143,4783,4783,141,525,1
144,605,605,173,2946,1
145,865,865,171,2946,0
146,3517,3517,145,2946,1
147,4910,4910,150,2946,1
148,3675,3675,154,2946,1
149,5600,5600,126,2946,1
150,5663,5663,154,2946,1
151,5499,5499,142,2946,1
152,5004,5004,144,2946,1
153,1538,1538,157,2946,0
154,743,743,192,2946,1
155,4525,4525,156,2946,1
156,3623,3623,143,2946,1
157,106,106,167,2946,1
158,6193,6193,151,2946,0
159,5449,5449,152,2946,1
160,3165,3165,147,2946,1
161,3523,3523,159,2946,1
162,5816,5816,145,2946,1
163,5854,5854,156,2946,1
164,3733,3733,175,2946,1
165,4263,4263,152,2946,1
166,4161,4161,133,2946,1
167,2792,2792,137,2946,1
168,4715,4715,158,2946,1
169,4681,4681,160,2946,1
170,3138,3138,168,2946,1
171,4081,4081,136,2946,1
172,1516,1516,145,2896,1
173,5232,5232,152,1996,1
174,5193,5193,158,1161,1
175,1845,1845,158,571,1
176,3012,3012,127,224,1
177,4294967295,65535,65535,87,0
178,4294967295,65535,65535,48,0
179,4294967295,65535,65535,38,0
180,5305,5305,161,711,1
181,2953,2953,146,711,1
182,1880,1880,167,711,1
183,2155,2155,158,711,1
184,5005,5005,149,711,1
185,5012,5012,153,711,1
186,2506,2506,159,711,1
187,1295,1295,149,711,1
188,239,239,177,711,1
189,4277,4277,158,711,1
190,2767,2767,159,711,1
191,3363,3363,159,711,1
192,225,225,175,711,1
193,5084,5084,139,711,1
194,3148,3148,159,711,1
195,3847,3847,152,711,1
196,6086,6086,142,711,1
197,303,303,185,711,1
198,2213,2213,150,711,1
199,708,708,191,711,1
200,1436,1436,150,711,1
201,4477,4477,163,711,1
202,3382,3382,161,711,1
203,479,479,150,711,1
204,1605,1605,160,711,1
205,655,655,196,711,1
206,5421,5421,145,711,1
207,5775,5775,144,711,0
208,5811,5811,168,711,1
209,5428,5428,147,708,1
210,215,215,172,705,1
211,1298,1298,167,703,1
212,6268,6268,159,702,1
213,1121,1121,208,701,1
214,6140,6140,125,701,1
215,3190,3190,160,701,1
216,6138,6138,151,2397,1
217,198,198,195,2397,1
218,6125,6125,154,2397,1
219,5406,5406,144,2397,1
220,2720,2720,170,2397,1
221,4578,4578,138,2397,1
222,4537,4537,184,2397,1
223,4575,4575,150,2397,1
224,3200,3200,146,2397,1
225,750,750,186,2397,1
226,2308,2308,127,2397,1
227,3656,3656,161,2397,1
228,6195,6195,155,2397,1
229,5482,5482,176,2397,1
230,6256,6256,152,2397,1
231,2470,2470,135,2397,1
232,5350,5350,151,2397,1
233,1903,1903,152,2397,1
234,2241,2241,144,2397,1
235,4069,4069,146,2397,1
236,2089,2089,149,2397,1
237,1168,1168,180,2397,1
238,1005,1005,174,2397,1
239,630,630,170,2397,1
240,718,718,166,2397,1
241,4088,4088,146,2397,1
242,3513,3513,154,2397,1
243,251,251,186,2396,1
244,4243,4243,155,2360,1
245,5708,5708,164,1664,1
246,4294967295,65535,65535,1005,0
247,4294967295,65535,65535,551,0
248,4294967295,65535,65535,278,0
249,4294967295,65535,65535,175,0
250,4294967295,65535,65535,134,0
251,4294967295,65535,65535,126,0
252,169,169,189,703,1
253,2004,2004,158,703,1
254,1898,1898,162,703,1
255,6224,6224,140,703,1
256,5024,5024,144,703,1
257,184,184,196,703,1
258,3076,3076,165,703,1
259,2301,2301,181,703,1
260,3579,3579,165,703,1
261,4482,4482,176,703,1
262,4362,4362,154,703,1
263,604,604,209,703,1
264,176,176,194,703,1
265,5139,5139,143,703,1
266,2272,2272,156,703,1
267,5169,5169,160,703,1
268,417,417,190,703,1
269,4558,4558,159,703,1
270,2333,2333,149,703,1
271,3700,3700,151,703,1
272,1832,1832,144,703,1
273,3079,3079,161,703,1
274,5068,5068,163,703,1
275,4408,4408,144,703,1
276,5375,5375,153,703,1
277,4150,4150,134,703,1
278,1961,1961,149,703,1
279,5559,5559,154,703,1
280,1875,1875,159,703,0
281,4071,4071,122,700,1
282,2943,2943,180,699,1
283,244,244,179,696,1
284,4431,4431,162,694,1
285,1988,1988,144,692,1
286,2744,2744,165,692,1
287,2611,2611,170,692,1
288,3525,3525,150,749,1
289,5869,5869,163,749,1
290,2600,2600,157,749,1
291,1650,1650,137,749,1
292,6220,6220,140,749,1
293,4419,4419,147,749,1
294,1712,1712,159,749,1
295,2376,2376,134,749,1
296,4013,4013,148,749,1
297,157,157,166,749,1
298,2591,2591,136,749,1
299,5661,5661,153,749,1
300,4690,4690,168,749,1
301,1434,1434,149,749,1
302,6191,6191,135,749,1
303,6074,6074,136,749,1
304,2799,2799,152,749,1
305,3236,3236,148,749,1
306,1727,1727,188,749,1
307,4591,4591,156,749,1
308,2913,2913,154,749,0
309,2128,2128,156,749,1
310,1166,1166,206,749,1
311,5249,5249,176,749,1
312,5464,5464,156,749,1
313,5092,5092,157,749,1
314,2800,2800,163,749,1
315,4711,4711,140,749,1
316,1833,1833,151,749,1
317,5227,5227,130,735,1
318,2717,2717,154,713,1
319,2265,2265,140,699,1
320,458,458,174,693,1
321,1025,1025,181,692,1
322,5127,5127,155,691,0
323,2833,2833,163,691,1
324,747,747,197,721,0
325,5520,5520,153,721,1
326,646,646,191,721,1
327,1163,1163,201,721,1
328,6211,6211,165,721,1
329,5691,5691,140,721,1
330,758,758,188,721,1
331,885,885,171,721,1
332,2757,2757,151,721,1
333,133,133,173,721,0
334,2709,2709,152,721,1
335,1202,1202,171,721,1
336,1710,1710,134,721,1
337,4651,4651,162,721,0
338,2240,2240,167,721,1
339,3704,3704,146,721,1
340,3347,3347,150,721,1
341,2752,2752,161,721,1
342,2456,2456,158,721,1
343,5740,5740,128,721,1
344,3865,3865,160,721,1
345,3244,3244,145,721,1
346,4562,4562,161,721,1
347,3926,3926,190,721,1
348,5318,5318,128,721,1
349,1014,1014,183,721,0
350,2966,2966,163,721,1
351,2589,2589,144,721,1
352,886,886,173,721,1
353,2827,2827,177,712,1
354,5151,5151,155,698,0
355,516,516,199,692,1
356,292,292,166,681,0
357,2083,2083,156,676,1
358,5565,5565,156,675,1
