Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,28
Host write range: ,5625
Total Erase Count is: ,86496
Max Erase Count: ,1245
Min Erase Count: ,403
Avg Erase Count: ,432.480000
Total GC Count is: ,0
Total Segmental GC Count is: ,228510
Total WL Count is: ,7972
WAF is: ,3.021896

VB No,Valid Count,Erase Count
0,25,405
1,31,405
2,24,1188
3,35,405
4,27,405
5,26,404
6,0,406
7,27,405
8,28,405
9,27,404
10,34,405
11,30,405
12,29,404
13,24,405
14,30,405
15,28,405
16,35,405
17,0,406
18,0,430
19,29,404
20,26,1178
21,24,717
22,33,405
23,0,600
24,24,1245
25,36,405
26,34,405
27,30,405
28,27,405
29,25,405
30,27,405
31,33,405
32,36,405
33,25,404
34,25,1011
35,26,404
36,36,406
37,25,1119
38,27,404
39,29,405
40,27,405
41,8,404
42,29,405
43,27,404
44,36,405
45,35,405
46,27,405
47,33,405
48,32,405
49,35,406
50,34,405
51,27,404
52,35,405
53,32,405
54,25,405
55,32,405
56,24,888
57,0,782
58,27,404
59,33,405
60,35,405
61,0,900
62,34,405
63,35,405
64,34,405
65,28,404
66,34,405
67,27,404
68,27,404
69,32,405
70,36,406
71,28,404
72,25,405
73,28,405
74,28,404
75,36,405
76,36,405
77,27,404
78,0,406
79,25,404
80,27,404
81,30,405
82,26,404
83,30,405
84,24,404
85,27,404
86,26,404
87,28,404
88,31,404
89,29,405
90,36,405
91,26,405
92,33,405
93,34,405
94,27,405
95,31,405
96,28,404
97,27,405
98,27,405
99,35,405
100,26,405
101,32,404
102,25,404
103,26,404
104,30,404
105,27,405
106,29,404
107,29,404
108,29,404
109,24,404
110,36,405
111,28,404
112,0,406
113,33,406
114,24,404
115,30,404
116,28,404
117,35,405
118,31,404
119,29,404
120,31,404
121,28,404
122,27,404
123,32,405
124,28,404
125,25,404
126,27,405
127,30,404
128,29,404
129,27,404
130,31,404
131,1,405
132,32,404
133,0,406
134,26,405
135,27,404
136,30,404
137,30,404
138,34,404
139,31,404
140,32,404
141,27,404
142,28,404
143,30,404
144,25,404
145,31,404
146,33,404
147,32,404
148,27,404
149,28,404
150,32,404
151,28,404
152,23,404
153,34,404
154,30,404
155,30,404
156,32,404
157,28,404
158,31,404
159,33,404
160,34,404
161,29,404
162,34,404
163,36,404
164,34,405
165,33,404
166,35,404
167,31,404
168,27,404
169,35,404
170,25,405
171,36,404
172,31,405
173,36,404
174,36,404
175,35,404
176,34,404
177,24,404
178,30,404
179,26,403
180,24,403
181,24,403
182,23,404
183,31,404
184,33,404
185,29,404
186,36,404
187,30,404
188,31,404
189,33,404
190,25,404
191,32,404
192,24,403
193,25,404
194,29,404
195,33,404
196,31,405
197,31,404
198,32,404
199,25,403


Physical Page Address,Logical Page Address,Data,LCA_Counts,Nand_WriteCounts,Valid_Page
0,170,170,179,406,1
1,2004,2004,184,406,1
2,1291,1291,180,406,0
3,3698,3698,176,406,1
4,744,744,172,406,1
5,3488,3488,199,406,1
6,5536,5536,147,406,1
7,454,454,201,406,1
8,3206,3206,188,406,0
9,2965,2965,182,406,1
10,5503,5503,155,406,1
11,5036,5036,149,406,1
12,4816,4816,159,406,1
13,236,236,186,406,1
14,4170,4170,175,406,0
15,3163,3163,192,406,0
16,4968,4968,154,406,0
17,4836,4836,146,406,0
18,3359,3359,197,406,1
19,3044,3044,174,406,1
20,4421,4421,187,406,0
21,17,17,174,406,1
22,3278,3278,183,406,1
23,865,865,190,406,1
24,3299,3299,188,406,1
25,2181,2181,161,401,1
26,3175,3175,190,399,0
27,319,319,163,396,0
28,5535,5535,174,395,1
29,4927,4927,162,395,1
30,4674,4674,169,395,0
31,721,721,170,394,0
32,5540,5540,157,394,1
33,3564,3564,178,394,1
34,2334,2334,199,394,1
35,1376,1376,171,394,1
36,1636,1636,198,406,1
37,4861,4861,149,406,1
38,4642,4642,177,406,1
39,3255,3255,177,406,1
40,1585,1585,174,406,1
41,1272,1272,187,406,1
42,4440,4440,193,406,0
43,1383,1383,199,406,0
44,1490,1490,181,406,1
45,691,691,177,406,1
46,3386,3386,172,406,1
47,4186,4186,174,406,1
48,2092,2092,188,406,1
49,1902,1902,221,406,1
50,4309,4309,173,406,1
51,2207,2207,186,406,1
52,4074,4074,174,406,1
53,510,510,189,406,1
54,1756,1756,194,406,1
55,4899,4899,144,406,1
56,2797,2797,187,406,1
57,2714,2714,189,406,1
58,1477,1477,199,406,1
59,407,407,185,406,1
60,3129,3129,191,403,0
61,3276,3276,179,403,1
62,433,433,203,399,1
63,4063,4063,195,397,1
64,3601,3601,199,396,1
65,5568,5568,161,394,1
66,2090,2090,185,394,0
67,1107,1107,177,392,1
68,1618,1618,195,392,1
69,279,279,181,392,1
70,5196,5196,160,391,1
71,3337,3337,163,391,0
72,4684,4684,132,1189,1
73,3919,3919,200,1189,1
74,1921,1921,181,1189,0
75,258,258,180,1189,1
76,3015,3015,186,1189,1
77,4326,4326,157,1189,1
78,534,534,182,1189,1
79,157,157,174,1189,1
80,3980,3980,186,1189,1
81,5569,5569,147,1189,1
82,4610,4610,182,1189,0
83,619,619,188,1189,1
84,1314,1314,184,1189,1
85,3076,3076,202,1189,1
86,2401,2401,194,1189,1
87,3241,3241,177,1189,1
88,2503,2503,182,1189,1
89,3953,3953,160,1189,1
90,1293,1293,200,1189,1
91,3217,3217,218,1189,1
92,5604,5604,163,1189,1
93,2082,2082,177,1189,1
94,705,705,189,1189,1
95,5290,5290,140,1164,1
96,3052,3052,207,941,1
97,5557,5557,137,675,1
98,4294967295,65535,65535,490,0
99,4294967295,65535,65535,362,0
100,4294967295,65535,65535,274,0
101,4294967295,65535,65535,246,0
102,4294967295,65535,65535,227,0
103,4294967295,65535,65535,219,0
104,4294967295,65535,65535,214,0
105,4294967295,65535,65535,214,0
106,4294967295,65535,65535,213,0
107,4294967295,65535,65535,213,0
108,2677,2677,196,406,1
109,7,7,182,406,1
110,2772,2772,169,406,1
111,4265,4265,200,406,1
112,1875,1875,172,406,1
113,154,154,194,406,1
114,1190,1190,185,406,1
115,4813,4813,140,406,1
116,3748,3748,189,406,1
117,3655,3655,154,406,1
118,5112,5112,158,406,0
119,3928,3928,204,406,1
120,32,32,197,406,1
121,2305,2305,186,406,1
122,2526,2526,189,406,1
123,3663,3663,214,406,1
124,998,998,163,406,1
125,2597,2597,189,406,1
126,3118,3118,190,406,1
127,4493,4493,198,406,1
128,5130,5130,162,406,1
129,1526,1526,169,406,1
130,500,500,201,406,1
131,3862,3862,176,406,1
132,655,655,175,405,1
133,135,135,195,405,1
134,517,517,188,404,1
135,3864,3864,192,404,1
136,3145,3145,185,404,1
137,1001,1001,180,404,1
138,5587,5587,152,404,1
139,3361,3361,186,404,1
140,2032,2032,170,404,1
141,2462,2462,177,404,1
142,614,614,161,404,1
143,1816,1816,216,404,1
144,2358,2358,205,406,1
145,200,200,176,406,1
146,2531,2531,175,406,0
147,3137,3137,197,406,1
148,2795,2795,190,406,0
149,4914,4914,154,406,1
150,144,144,179,406,0
151,5481,5481,150,406,1
152,3054,3054,177,406,1
153,283,283,181,406,1
154,3007,3007,181,406,1
155,1033,1033,194,406,0
156,1468,1468,204,406,1
157,3389,3389,184,406,1
158,609,609,195,406,1
159,2913,2913,164,406,1
160,1549,1549,189,406,1
161,1714,1714,188,406,1
162,912,912,179,406,1
163,4096,4096,173,406,0
164,4782,4782,140,406,0
165,4325,4325,202,406,0
166,5068,5068,160,406,1
167,1346,1346,192,406,0
168,4385,4385,167,406,1
169,5613,5613,164,405,1
170,5337,5337,146,404,1
171,4733,4733,152,404,1
172,645,645,180,404,0
173,5278,5278,170,404,1
174,325,325,175,404,1
175,3376,3376,198,404,1
176,3437,3437,193,404,1
177,2696,2696,177,404,1
178,5595,5595,153,404,1
179,5316,5316,150,404,1
180,3802,3802,202,405,1
181,3372,3372,177,405,1
182,2920,2920,196,405,1
183,1972,1972,166,405,0
184,3465,3465,224,405,1
185,1710,1710,176,405,1
186,2837,2837,166,405,1
187,2946,2946,178,405,0
188,295,295,154,405,1
189,294,294,169,405,0
190,5407,5407,137,405,0
191,5335,5335,139,405,1
192,4445,4445,174,405,0
193,4690,4690,154,405,1
194,3501,3501,186,405,1
195,1309,1309,169,405,1
196,572,572,187,405,1
197,3536,3536,151,405,1
198,640,640,176,405,1
199,2330,2330,205,405,1
200,509,509,150,405,1
201,3439,3439,169,405,1
202,4048,4048,185,405,1
203,5098,5098,127,405,0
204,4970,4970,161,405,0
205,4857,4857,140,405,1
206,1102,1102,173,405,1
207,2778,2778,186,405,1
208,3069,3069,174,405,1
209,4480,4480,201,405,1
210,5403,5403,163,405,1
211,2186,2186,185,405,1
212,5586,5586,165,405,0
213,2779,2779,190,405,0
214,1604,1604,178,405,0
215,5391,5391,177,405,1
216,4294967295,65535,65535,406,0
217,4294967295,65535,65535,406,0
218,4294967295,65535,65535,406,0
219,4294967295,65535,65535,406,0
220,4294967295,65535,65535,406,0
221,4294967295,65535,65535,406,0
222,4294967295,65535,65535,406,0
223,4294967295,65535,65535,406,0
224,4294967295,65535,65535,406,0
225,4294967295,65535,65535,406,0
226,4294967295,65535,65535,406,0
227,4294967295,65535,65535,406,0
228,4294967295,65535,65535,406,0
229,4294967295,65535,65535,406,0
230,4294967295,65535,65535,406,0
231,4294967295,65535,65535,406,0
232,4294967295,65535,65535,406,0
233,4294967295,65535,65535,406,0
234,4294967295,65535,65535,406,0
235,4294967295,65535,65535,406,0
236,4294967295,65535,65535,406,0
237,4294967295,65535,65535,406,0
238,4294967295,65535,65535,406,0
239,4294967295,65535,65535,406,0
240,4294967295,65535,65535,405,0
241,4294967295,65535,65535,405,0
242,4294967295,65535,65535,403,0
243,4294967295,65535,65535,403,0
244,4294967295,65535,65535,403,0
245,4294967295,65535,65535,403,0
246,4294967295,65535,65535,403,0
247,4294967295,65535,65535,403,0
248,4294967295,65535,65535,403,0
249,4294967295,65535,65535,403,0
250,4294967295,65535,65535,403,0
251,4294967295,65535,65535,403,0
252,2758,2758,194,406,1
253,919,919,179,406,1
254,1483,1483,194,406,0
255,5125,5125,134,406,1
256,2926,2926,176,406,1
257,1681,1681,186,406,0
258,747,747,207,406,0
259,2605,2605,192,406,1
260,2688,2688,170,406,1
261,3484,3484,182,406,1
262,4878,4878,136,406,1
263,2819,2819,203,406,1
264,4861,4861,148,406,0
265,3855,3855,184,406,1
266,4677,4677,170,406,1
267,1610,1610,165,406,1
268,5529,5529,149,406,0
269,87,87,164,406,1
270,1632,1632,175,406,0
271,3317,3317,168,406,1
272,4714,4714,140,406,1
273,3512,3512,190,406,0
274,863,863,191,406,1
275,1960,1960,155,406,1
276,767,767,200,404,0
277,1230,1230,168,404,1
278,1765,1765,187,404,1
279,3893,3893,193,403,1
280,3816,3816,174,403,1
281,2304,2304,176,403,1
282,2231,2231,170,403,1
283,5531,5531,149,403,1
284,3293,3293,164,403,1
285,4938,4938,147,403,0
286,2045,2045,195,403,1
287,4932,4932,146,403,1
288,1555,1555,172,406,1
289,4336,4336,178,406,1
290,2512,2512,202,406,1
291,2021,2021,185,406,1
292,1285,1285,164,406,0
293,4975,4975,139,406,1
294,979,979,177,406,1
295,2525,2525,182,406,0
296,1384,1384,191,406,0
297,5307,5307,166,406,1
298,5506,5506,132,406,1
299,4687,4687,161,406,1
300,1943,1943,168,406,0
301,3615,3615,185,406,1
302,3426,3426,173,406,1
303,5432,5432,164,406,1
304,2245,2245,169,406,0
305,1564,1564,170,406,1
306,2383,2383,184,406,0
307,2582,2582,195,406,0
308,5196,5196,159,406,0
309,458,458,179,406,1
310,1076,1076,192,406,1
311,838,838,178,406,1
312,1470,1470,176,406,1
313,2368,2368,189,406,1
314,4148,4148,207,406,1
315,5111,5111,147,406,1
316,4633,4633,202,406,1
317,2968,2968,189,406,1
318,5299,5299,158,406,1
319,4998,4998,149,406,1
320,684,684,197,406,1
321,1312,1312,189,406,1
322,1146,1146,174,406,1
323,3192,3192,212,406,1
324,3081,3081,183,405,1
325,227,227,206,405,1
326,1498,1498,189,405,1
327,1948,1948,174,405,1
328,505,505,186,405,1
329,2089,2089,194,405,1
330,1523,1523,168,405,1
331,4796,4796,157,405,0
332,1085,1085,177,405,1
333,3467,3467,167,405,1
334,1420,1420,177,405,1
335,1374,1374,192,405,1
336,3371,3371,157,405,0
337,4277,4277,158,405,1
338,5523,5523,162,405,0
339,2313,2313,155,405,1
340,4827,4827,167,405,1
341,2126,2126,202,405,1
342,4,4,191,405,1
343,1151,1151,199,405,1
344,1976,1976,178,405,1
345,4051,4051,204,405,0
346,2287,2287,194,405,1
347,4098,4098,199,405,1
348,4213,4213,189,405,1
349,1080,1080,191,405,1
350,3931,3931,196,405,1
351,4427,4427,174,405,0
352,5465,5465,158,405,1
353,3781,3781,172,405,1
354,1417,1417,168,405,0
355,3348,3348,178,405,0
356,379,379,185,405,1
357,834,834,178,405,1
358,2529,2529,177,405,0
359,635,635,178,405,0
360,3513,3513,190,406,1
361,4049,4049,198,406,1
362,1040,1040,168,406,1
363,954,954,181,406,1
364,2138,2138,191,406,1
365,1701,1701,171,406,1
366,2789,2789,198,406,1
367,1017,1017,182,406,1
368,5075,5075,140,406,1
369,544,544,186,406,1
370,4564,4564,180,406,1
371,228,228,194,406,1
372,1095,1095,187,406,1
373,3135,3135,188,406,1
374,5380,5380,156,406,1
375,3189,3189,189,406,1
376,42,42,194,406,1
377,1565,1565,156,406,1
378,5041,5041,155,406,1
379,521,521,210,406,1
380,3264,3264,165,406,1
381,116,116,176,406,1
382,1769,1769,187,406,1
383,475,475,176,406,1
384,4259,4259,188,406,0
385,843,843,189,406,1
386,4990,4990,167,406,1
387,3640,3640,189,406,0
388,3155,3155,183,406,1
389,1494,1494,170,406,1
390,1006,1006,203,406,1
391,683,683,159,406,1
392,1370,1370,176,406,1
393,1188,1188,181,406,1
394,4490,4490,178,406,1
395,2907,2907,176,406,1
396,2068,2068,160,406,1
397,3045,3045,195,406,1
398,5436,5436,141,406,1
399,2266,2266,195,406,1
400,1333,1333,156,406,0
401,948,948,179,406,1
402,3805,3805,177,406,0
403,3977,3977,197,406,1
404,1514,1514,167,406,1
405,1603,1603,207,406,1
406,4599,4599,184,406,1
407,4318,4318,201,406,1
408,1572,1572,179,406,1
409,482,482,176,406,1
410,717,717,183,406,0
411,5230,5230,151,406,0
412,1713,1713,173,406,1
413,5553,5553,148,406,1
414,5433,5433,141,406,1
415,574,574,176,406,1
416,602,602,190,406,1
417,101,101,191,406,0
418,1369,1369,183,406,1
419,569,569,178,406,0
420,3374,3374,199,406,1
421,642,642,193,406,1
422,3505,3505,198,406,1
423,3619,3619,174,406,1
424,3938,3938,181,405,1
425,3132,3132,185,405,1
426,5298,5298,147,405,1
427,3798,3798,163,405,1
428,3858,3858,176,405,1
429,2722,2722,187,405,1
430,2269,2269,189,405,1
431,4856,4856,155,405,1
432,3610,3610,174,405,1
433,290,290,188,405,1
434,2809,2809,182,405,1
435,3227,3227,189,405,0
436,2390,2390,195,405,1
437,3251,3251,211,405,0
438,1364,1364,181,405,1
439,1395,1395,174,405,1
440,2291,2291,183,405,1
441,1227,1227,169,405,0
442,3216,3216,162,405,1
443,1209,1209,178,405,0
444,10,10,203,405,1
445,2427,2427,183,405,1
446,3173,3173,181,405,1
447,945,945,163,405,0
448,2333,2333,175,405,1
449,4165,4165,210,405,1
450,4600,4600,201,405,1
451,368,368,202,405,1
