Test Summary
Block per die: ,200
Total VB (single unit) pages: ,36
Total Pages: ,7200
OP Size: ,28
Host write range: ,5625
Total Erase Count is: ,15624
Max Erase Count: ,79
Min Erase Count: ,0
Avg Erase Count: ,78.120000
Total GC Count is: ,0
Total WL Count is: ,0
WAF is: ,1.000000

VB No,Valid Count,Erase Count
0,0,79
1,0,79
2,0,79
3,0,79
4,0,79
5,0,79
6,0,79
7,0,79
8,0,79
9,0,79
10,0,79
11,0,79
12,0,79
13,0,79
14,0,79
15,0,79
16,0,79
17,0,79
18,0,79
19,0,79
20,0,79
21,0,79
22,0,79
23,0,79
24,0,78
25,36,78
26,36,78
27,36,78
28,36,78
29,36,78
30,36,78
31,36,78
32,36,78
33,36,78
34,36,78
35,36,78
36,36,78
37,36,78
38,36,78
39,36,78
40,36,78
41,36,78
42,36,78
43,36,78
44,36,78
45,36,78
46,36,78
47,36,78
48,36,78
49,36,78
50,36,78
51,36,78
52,36,78
53,36,78
54,36,78
55,36,78
56,36,78
57,36,78
58,36,78
59,36,78
60,36,78
61,36,78
62,36,78
63,36,78
64,36,78
65,36,78
66,36,78
67,36,78
68,36,78
69,36,78
70,36,78
71,36,78
72,36,78
73,36,78
74,36,78
75,36,78
76,36,78
77,36,78
78,36,78
79,36,78
80,36,78
81,36,78
82,36,78
83,36,78
84,36,78
85,36,78
86,36,78
87,36,78
88,36,78
89,36,78
90,36,78
91,36,78
92,36,78
93,36,78
94,36,78
95,36,78
96,36,78
97,36,78
98,36,78
99,36,78
100,36,78
101,36,78
102,36,78
103,36,78
104,36,78
105,36,78
106,36,78
107,36,78
108,36,78
109,36,78
110,36,78
111,36,78
112,36,78
113,36,78
114,36,78
115,36,78
116,36,78
117,36,78
118,36,78
119,36,78
120,36,78
121,36,78
122,36,78
123,36,78
124,36,78
125,36,78
126,36,78
127,36,78
128,36,78
129,36,78
130,36,78
131,36,78
132,36,78
133,36,78
134,36,78
135,36,78
136,36,78
137,36,78
138,36,78
139,36,78
140,36,78
141,36,78
142,36,78
143,36,78
144,36,78
145,36,78
146,36,78
147,36,78
148,36,78
149,36,78
150,36,78
151,36,78
152,36,78
153,36,78
154,36,78
155,36,78
156,36,78
157,36,78
158,36,78
159,36,78
160,36,78
161,36,78
162,36,78
163,36,78
164,36,78
165,36,78
166,36,78
167,36,78
168,36,78
169,36,78
170,36,78
171,36,78
172,36,78
173,36,78
174,36,78
175,36,78
176,36,78
177,36,78
178,36,78
179,36,78
180,36,78
181,9,78
182,0,78
183,0,78
184,0,78
185,0,78
186,0,78
187,0,78
188,0,78
189,0,78
190,0,78
191,0,78
192,0,78
193,0,78
194,0,78
195,0,78
196,0,78
197,0,78
198,0,78
199,0,78


Physical Page Address,Logical Page Address,Data,LCA_Counts,Nand_WriteCounts,Valid_Page
0,4294967295,65535,65535,79,0
1,4294967295,65535,65535,79,0
2,4294967295,65535,65535,79,0
3,4294967295,65535,65535,79,0
4,4294967295,65535,65535,79,0
5,4294967295,65535,65535,79,0
6,4294967295,65535,65535,79,0
7,4294967295,65535,65535,79,0
8,4294967295,65535,65535,79,0
9,4294967295,65535,65535,79,0
10,4294967295,65535,65535,79,0
11,4294967295,65535,65535,79,0
12,4294967295,65535,65535,79,0
13,4294967295,65535,65535,79,0
14,4294967295,65535,65535,79,0
15,4294967295,65535,65535,79,0
16,4294967295,65535,65535,79,0
17,4294967295,65535,65535,79,0
18,4294967295,65535,65535,79,0
19,4294967295,65535,65535,79,0
20,4294967295,65535,65535,79,0
21,4294967295,65535,65535,79,0
22,4294967295,65535,65535,79,0
23,4294967295,65535,65535,79,0
24,4294967295,65535,65535,79,0
25,4294967295,65535,65535,79,0
26,4294967295,65535,65535,79,0
27,4294967295,65535,65535,79,0
28,4294967295,65535,65535,79,0
29,4294967295,65535,65535,79,0
30,4294967295,65535,65535,79,0
31,4294967295,65535,65535,79,0
32,4294967295,65535,65535,79,0
33,4294967295,65535,65535,79,0
34,4294967295,65535,65535,79,0
35,4294967295,65535,65535,79,0
36,4294967295,65535,65535,79,0
37,4294967295,65535,65535,79,0
38,4294967295,65535,65535,79,0
39,4294967295,65535,65535,79,0
40,4294967295,65535,65535,79,0
41,4294967295,65535,65535,79,0
42,4294967295,65535,65535,79,0
43,4294967295,65535,65535,79,0
44,4294967295,65535,65535,79,0
45,4294967295,65535,65535,79,0
46,4294967295,65535,65535,79,0
47,4294967295,65535,65535,79,0
48,4294967295,65535,65535,79,0
49,4294967295,65535,65535,79,0
50,4294967295,65535,65535,79,0
51,4294967295,65535,65535,79,0
52,4294967295,65535,65535,79,0
53,4294967295,65535,65535,79,0
54,4294967295,65535,65535,79,0
55,4294967295,65535,65535,79,0
56,4294967295,65535,65535,79,0
57,4294967295,65535,65535,79,0
58,4294967295,65535,65535,79,0
59,4294967295,65535,65535,79,0
60,4294967295,65535,65535,79,0
61,4294967295,65535,65535,79,0
62,4294967295,65535,65535,79,0
63,4294967295,65535,65535,79,0
64,4294967295,65535,65535,79,0
65,4294967295,65535,65535,79,0
66,4294967295,65535,65535,79,0
67,4294967295,65535,65535,79,0
68,4294967295,65535,65535,79,0
69,4294967295,65535,65535,79,0
70,4294967295,65535,65535,79,0
71,4294967295,65535,65535,79,0
72,4294967295,65535,65535,79,0
73,4294967295,65535,65535,79,0
74,4294967295,65535,65535,79,0
75,4294967295,65535,65535,79,0
76,4294967295,65535,65535,79,0
77,4294967295,65535,65535,79,0
78,4294967295,65535,65535,79,0
79,4294967295,65535,65535,79,0
80,4294967295,65535,65535,79,0
81,4294967295,65535,65535,79,0
82,4294967295,65535,65535,79,0
83,4294967295,65535,65535,79,0
84,4294967295,65535,65535,79,0
85,4294967295,65535,65535,79,0
86,4294967295,65535,65535,79,0
87,4294967295,65535,65535,79,0
88,4294967295,65535,65535,79,0
89,4294967295,65535,65535,79,0
90,4294967295,65535,65535,79,0
91,4294967295,65535,65535,79,0
92,4294967295,65535,65535,79,0
93,4294967295,65535,65535,79,0
94,4294967295,65535,65535,79,0
95,4294967295,65535,65535,79,0
96,4294967295,65535,65535,79,0
97,4294967295,65535,65535,79,0
98,4294967295,65535,65535,79,0
99,4294967295,65535,65535,79,0
100,4294967295,65535,65535,79,0
101,4294967295,65535,65535,79,0
102,4294967295,65535,65535,79,0
103,4294967295,65535,65535,79,0
104,4294967295,65535,65535,79,0
105,4294967295,65535,65535,79,0
106,4294967295,65535,65535,79,0
107,4294967295,65535,65535,79,0
108,4294967295,65535,65535,79,0
109,4294967295,65535,65535,79,0
110,4294967295,65535,65535,79,0
111,4294967295,65535,65535,79,0
112,4294967295,65535,65535,79,0
113,4294967295,65535,65535,79,0
114,4294967295,65535,65535,79,0
115,4294967295,65535,65535,79,0
116,4294967295,65535,65535,79,0
117,4294967295,65535,65535,79,0
118,4294967295,65535,65535,79,0
119,4294967295,65535,65535,79,0
120,4294967295,65535,65535,79,0
121,4294967295,65535,65535,79,0
122,4294967295,65535,65535,79,0
123,4294967295,65535,65535,79,0
