Loop,Nand Write,Host Write,WAF
0,11214,11214,1.000000
1,16821,16821,1.000000
2,22428,22428,1.000000
3,28035,28035,1.000000
4,33642,33642,1.000000
5,39249,39249,1.000000
6,44856,44856,1.000000
7,50463,50463,1.000000
8,56070,56070,1.000000
9,61677,61677,1.000000
10,67284,67284,1.000000
11,72891,72891,1.000000
12,78498,78498,1.000000
13,84105,84105,1.000000
14,89712,89712,1.000000
15,95319,95319,1.000000
16,100926,100926,1.000000
17,106533,106533,1.000000
18,112140,112140,1.000000
19,117747,117747,1.000000
20,123354,123354,1.000000
21,128961,128961,1.000000
22,134568,134568,1.000000
23,140175,140175,1.000000
24,145782,145782,1.000000
25,151389,151389,1.000000
26,156996,156996,1.000000
27,162603,162603,1.000000
28,168210,168210,1.000000
29,173817,173817,1.000000
30,179424,179424,1.000000
31,185031,185031,1.000000
32,190638,190638,1.000000
33,196245,196245,1.000000
34,201852,201852,1.000000
35,207459,207459,1.000000
36,213066,213066,1.000000
37,218673,218673,1.000000
38,224280,224280,1.000000
39,229887,229887,1.000000
40,235494,235494,1.000000
41,241101,241101,1.000000
42,246708,246708,1.000000
43,252315,252315,1.000000
44,257922,257922,1.000000
45,263529,263529,1.000000
46,269136,269136,1.000000
47,274743,274743,1.000000
48,280350,280350,1.000000
49,285957,285957,1.000000
50,291564,291564,1.000000
51,297171,297171,1.000000
52,302778,302778,1.000000
53,308385,308385,1.000000
54,313992,313992,1.000000
55,319599,319599,1.000000
56,325206,325206,1.000000
57,330813,330813,1.000000
58,336420,336420,1.000000
59,342027,342027,1.000000
60,347634,347634,1.000000
61,353241,353241,1.000000
62,358848,358848,1.000000
63,364455,364455,1.000000
64,370062,370062,1.000000
65,375669,375669,1.000000
66,381276,381276,1.000000
67,386883,386883,1.000000
68,392490,392490,1.000000
69,398097,398097,1.000000
70,403704,403704,1.000000
71,409311,409311,1.000000
72,414918,414918,1.000000
73,420525,420525,1.000000
74,426132,426132,1.000000
75,431739,431739,1.000000
76,437346,437346,1.000000
77,442953,442953,1.000000
78,448560,448560,1.000000
79,454167,454167,1.000000
80,459774,459774,1.000000
81,465381,465381,1.000000
82,470988,470988,1.000000
83,476595,476595,1.000000
84,482202,482202,1.000000
85,487809,487809,1.000000
86,493416,493416,1.000000
87,499023,499023,1.000000
88,504630,504630,1.000000
89,510237,510237,1.000000
90,515844,515844,1.000000
91,521451,521451,1.000000
92,527058,527058,1.000000
93,532665,532665,1.000000
94,538272,538272,1.000000
95,543879,543879,1.000000
96,549486,549486,1.000000
97,555093,555093,1.000000
98,560700,560700,1.000000
99,566307,566307,1.000000
