Test Summary
Block per die: ,2000
Total VB (single unit) pages: ,36
Total Pages: ,72000
OP Size: ,14
Host write range: ,63157
Total Erase Count is: ,13299
Max Erase Count: ,13
Min Erase Count: ,0
Avg Erase Count: ,6.649500
Total GC Count is: ,0
Total Segmental GC Count is: ,35595
Total WL Count is: ,69
WAF is: ,2.091501

VB No,Valid Count,Erase Count
0,27,11
1,36,13
2,30,12
3,32,13
4,27,13
5,31,11
6,26,12
7,31,13
8,30,12
9,29,13
10,23,12
11,28,11
12,26,11
13,23,11
14,29,12
15,25,11
16,34,12
17,34,11
18,35,12
19,24,11
20,34,13
21,25,11
22,24,12
23,26,10
24,24,12
25,29,12
26,32,13
27,0,13
28,24,11
29,27,11
30,24,12
31,28,12
32,35,13
33,36,13
34,24,12
35,36,13
36,27,12
37,26,12
38,28,11
39,35,13
40,28,11
41,23,11
42,36,11
43,31,12
44,36,12
45,33,13
46,23,12
47,29,12
48,35,13
49,32,11
50,26,12
51,36,13
52,35,11
53,26,10
54,29,11
55,24,10
56,36,13
57,28,11
58,27,12
59,33,13
60,26,12
61,28,11
62,26,12
63,26,12
64,30,10
65,31,11
66,27,12
67,33,12
68,27,11
69,36,11
70,36,12
71,31,13
72,28,11
73,26,12
74,33,13
75,36,12
76,26,12
77,36,13
78,32,12
79,23,12
80,31,12
81,35,13
82,32,10
83,28,11
84,30,11
85,26,11
86,24,11
87,26,12
88,31,11
89,25,10
90,25,10
91,36,12
92,36,13
93,36,13
94,25,12
95,36,13
96,27,12
97,35,11
98,29,12
99,29,13
100,26,12
101,33,13
102,23,12
103,26,12
104,25,11
105,35,12
106,36,12
107,30,11
108,24,12
109,25,11
110,33,12
111,24,11
112,25,12
113,36,12
114,23,10
115,35,13
116,30,13
117,27,11
118,32,11
119,25,11
120,30,11
121,34,13
122,31,12
123,35,11
124,35,13
125,27,12
126,27,12
127,29,13
128,31,12
129,25,12
130,34,13
131,33,12
132,36,13
133,36,11
134,24,12
135,31,13
136,24,11
137,25,11
138,36,12
139,31,12
140,36,12
141,33,12
142,27,12
143,27,12
144,36,12
145,27,12
146,35,13
147,36,11
148,29,11
149,26,11
150,35,13
151,23,11
152,36,12
153,30,13
154,34,13
155,27,12
156,36,13
157,24,12
158,27,11
159,36,13
160,27,12
161,24,11
162,31,13
163,25,11
164,26,12
165,36,13
166,30,12
167,28,11
168,29,12
169,36,11
170,29,11
171,23,12
172,34,13
173,25,13
174,31,12
175,31,12
176,36,12
177,36,12
178,31,13
179,23,12
180,33,12
181,36,12
182,26,12
183,25,13
184,29,11
185,25,11
186,36,13
187,24,12
188,27,12
189,35,12
190,36,13
191,36,13
192,0,13
193,32,12
194,25,12
195,36,12
196,35,12
197,30,11
198,23,12
199,36,13
200,27,12
201,36,12
202,24,11
203,36,13
204,36,12
205,31,12
206,36,13
207,24,12
208,33,11
209,28,12
210,34,11
211,23,11
212,30,13
213,34,11
214,24,12
215,32,12
216,28,11
217,24,12
218,28,11
219,33,12
220,29,12
221,34,12
222,27,11
223,28,13
224,23,12
225,35,12
226,30,13
227,33,13
228,36,12
229,31,11
230,36,12
231,25,11
232,29,12
233,28,11
234,26,12
235,34,13
236,25,12
237,26,10
238,36,11
239,36,10
240,36,11
241,36,12
242,23,11
243,31,12
244,36,13
245,25,13
246,31,11
247,36,11
248,24,12
249,26,12
250,35,13
251,33,11
252,35,11
253,36,13
254,36,11
255,28,12
256,24,11
257,25,12
258,27,12
259,35,13
260,22,11
261,28,10
262,27,11
263,31,12
264,28,11
265,24,12
266,24,11
267,32,11
268,23,12
269,36,13
270,36,13
271,27,11
272,31,11
273,29,11
274,33,13
275,23,12
276,27,13
277,31,12
278,0,13
279,25,10
280,30,12
281,29,11
282,36,11
283,35,11
284,35,12
285,35,11
286,36,11
287,24,11
288,29,11
289,0,13
290,28,12
291,33,11
292,25,12
293,26,10
294,32,11
295,35,13
296,26,12
297,36,13
298,36,12
299,26,12
300,32,12
301,26,12
302,26,11
303,27,12
304,27,12
305,25,12
306,26,11
307,25,12
308,35,13
309,33,13
310,36,11
311,25,11
312,26,11
313,34,13
314,36,11
315,24,12
316,29,12
317,23,13
318,26,13
319,29,12
320,35,13
321,26,11
322,29,12
323,36,12
324,25,11
325,28,11
326,23,12
327,23,11
328,36,11
329,29,12
330,25,12
331,33,13
332,24,12
333,36,11
334,31,11
335,31,12
336,25,11
337,29,12
338,32,12
339,29,13
340,31,12
341,26,10
342,36,12
343,29,11
344,36,12
345,27,12
346,36,13
347,22,12
348,33,12
349,32,13
350,36,12
351,36,11
352,26,11
353,34,12
354,29,12
355,24,11
356,25,12
357,36,12
358,26,12
359,25,11
360,27,12
361,32,12
362,29,12
363,23,11
364,36,11
365,32,12
366,32,12
367,28,12
368,36,13
369,27,12
370,25,11
371,36,12
372,30,12
373,25,12
374,36,13
375,25,11
376,27,11
377,23,11
378,26,11
379,29,12
380,28,12
381,33,13
382,25,12
383,22,12
384,34,11
385,28,12
386,23,12
387,22,12
388,28,11
389,26,12
390,26,12
391,25,10
392,31,13
393,29,12
394,27,12
395,32,12
396,23,12
397,29,11
398,36,12
399,34,13
400,28,12
401,36,12
402,23,11
403,27,12
404,29,11
405,28,10
406,36,13
407,25,11
408,28,12
409,35,12
410,23,12
411,25,12
412,23,10
413,24,10
414,36,11
415,26,12
416,22,11
417,23,12
418,36,12
419,21,12
420,25,12
421,33,11
422,30,12
423,36,12
424,23,12
425,27,12
426,23,11
427,22,11
428,31,13
429,24,11
430,26,11
431,33,12
432,33,11
433,29,11
434,30,10
435,35,13
436,33,11
437,29,12
438,36,12
439,35,12
440,25,11
441,31,12
442,25,11
443,22,10
444,31,12
445,30,12
446,22,12
447,28,12
448,24,11
449,32,13
450,31,11
451,0,13
452,36,13
453,27,10
454,32,12
455,29,13
456,24,12
457,35,12
458,31,10
459,24,11
460,36,12
461,30,11
462,25,12
463,24,10
464,29,10
465,26,12
466,0,13
467,31,11
468,23,9
469,27,11
470,36,13
471,30,11
472,36,11
473,34,13
474,29,12
475,28,12
476,34,12
477,23,11
478,30,12
479,33,12
480,36,13
481,31,10
482,32,12
483,33,12
484,33,13
485,23,11
486,27,12
487,28,12
488,22,12
489,35,11
490,33,12
491,36,12
492,33,12
493,27,13
494,25,11
495,35,12
496,35,12
497,29,12
498,29,12
499,25,11
500,25,11
501,33,13
502,26,11
503,31,12
504,25,12
505,33,12
506,26,12
507,28,12
508,28,11
509,28,12
510,35,11
511,24,11
512,23,10
513,23,12
514,26,12
515,28,12
516,27,11
517,30,11
518,30,12
519,30,13
520,22,11
521,29,13
522,29,12
523,30,10
524,28,13
525,27,12
526,30,12
527,26,13
528,26,10
529,30,12
530,33,13
531,27,11
532,23,10
533,27,12
534,22,12
535,29,12
536,32,12
537,29,11
538,29,12
539,35,12
540,35,12
541,36,12
542,36,13
543,24,11
544,30,12
545,30,9
546,23,12
547,22,12
548,29,12
549,25,12
550,27,12
551,27,11
